HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,
Leyton Orient,Walsall,0.00,0.00,0.00,0.00,7.00,14.00,3.00,4.00,14.00,5.00,5.00,6.00,1.00,0.00,0.00,0.00,
Milton Keynes Dons,Coventry,0.00,0.00,0.00,0.00,13.00,8.00,6.00,5.00,14.00,24.00,5.00,2.00,2.00,2.00,0.00,0.00,
Port Vale,Notts County,0.00,2.00,0.00,1.00,24.00,11.00,6.00,6.00,15.00,11.00,18.00,2.00,1.00,2.00,0.00,0.00,
Preston,Oldham,1.00,0.00,1.00,0.00,14.00,12.00,2.00,3.00,14.00,11.00,3.00,4.00,2.00,1.00,0.00,0.00,
Rochdale,Bristol City,1.00,1.00,0.00,1.00,8.00,9.00,3.00,4.00,7.00,9.00,11.00,6.00,1.00,1.00,0.00,0.00,
Sheffield United,Crawley Town,1.00,0.00,0.00,0.00,13.00,7.00,3.00,1.00,11.00,18.00,7.00,7.00,1.00,1.00,0.00,0.00,
Swindon,Crewe,2.00,0.00,1.00,0.00,12.00,1.00,8.00,0.00,12.00,9.00,6.00,1.00,0.00,0.00,0.00,0.00,
Yeovil,Scunthorpe,1.00,1.00,0.00,0.00,11.00,5.00,3.00,4.00,13.00,14.00,12.00,2.00,3.00,3.00,0.00,0.00,
Colchester,Peterboro,1.00,3.00,0.00,2.00,23.00,17.00,10.00,9.00,10.00,13.00,2.00,2.00,0.00,1.00,0.00,1.00,
Doncaster,Oldham,0.00,2.00,0.00,1.00,6.00,10.00,1.00,4.00,14.00,9.00,4.00,8.00,1.00,2.00,0.00,0.00,
Fleetwood Town,Leyton Orient,1.00,1.00,0.00,1.00,18.00,16.00,10.00,5.00,13.00,12.00,9.00,5.00,2.00,1.00,0.00,0.00,
Gillingham,Crewe,2.00,0.00,2.00,0.00,16.00,5.00,8.00,4.00,15.00,7.00,5.00,2.00,0.00,1.00,0.00,0.00,
Milton Keynes Dons,Crawley Town,2.00,0.00,1.00,0.00,21.00,14.00,6.00,6.00,12.00,13.00,10.00,4.00,2.00,3.00,1.00,0.00,
Port Vale,Chesterfield,1.00,2.00,1.00,1.00,17.00,15.00,8.00,5.00,11.00,13.00,5.00,4.00,4.00,4.00,0.00,1.00,
Preston,Sheffield United,1.00,1.00,1.00,1.00,15.00,12.00,7.00,6.00,15.00,10.00,7.00,6.00,2.00,1.00,0.00,0.00,
Rochdale,Bradford,0.00,2.00,0.00,0.00,11.00,11.00,1.00,4.00,8.00,10.00,4.00,3.00,2.00,1.00,0.00,0.00,
Scunthorpe,Walsall,2.00,1.00,0.00,0.00,10.00,8.00,8.00,2.00,13.00,12.00,2.00,5.00,4.00,2.00,0.00,0.00,
Swindon,Coventry,1.00,1.00,0.00,1.00,9.00,8.00,4.00,4.00,4.00,16.00,10.00,3.00,2.00,1.00,0.00,0.00,
Yeovil,Barnsley,1.00,1.00,0.00,1.00,14.00,10.00,8.00,4.00,10.00,12.00,6.00,6.00,2.00,3.00,0.00,0.00,
Notts County,Bristol City,1.00,2.00,1.00,0.00,9.00,15.00,4.00,6.00,15.00,10.00,4.00,5.00,1.00,1.00,0.00,0.00,
Coventry,Gillingham,1.00,0.00,1.00,0.00,10.00,8.00,4.00,2.00,13.00,6.00,4.00,7.00,3.00,1.00,0.00,0.00,
Bradford,Yeovil,1.00,3.00,1.00,2.00,8.00,11.00,1.00,6.00,6.00,13.00,6.00,3.00,0.00,1.00,0.00,0.00,
Bristol City,Scunthorpe,2.00,0.00,0.00,0.00,19.00,10.00,10.00,2.00,4.00,10.00,16.00,7.00,0.00,1.00,0.00,0.00,
Crawley Town,Rochdale,0.00,4.00,0.00,1.00,12.00,13.00,4.00,8.00,11.00,14.00,3.00,5.00,1.00,2.00,0.00,0.00,
Oldham,Fleetwood Town,1.00,0.00,1.00,0.00,14.00,7.00,2.00,4.00,9.00,14.00,9.00,4.00,0.00,1.00,0.00,0.00,
Peterboro,Port Vale,3.00,1.00,1.00,0.00,18.00,9.00,6.00,5.00,9.00,11.00,8.00,6.00,1.00,3.00,0.00,0.00,
Walsall,Colchester,0.00,0.00,0.00,0.00,8.00,1.00,1.00,0.00,3.00,4.00,4.00,6.00,0.00,0.00,0.00,0.00,
Barnsley,Milton Keynes Dons,3.00,5.00,0.00,2.00,11.00,11.00,5.00,9.00,9.00,9.00,4.00,6.00,1.00,1.00,0.00,0.00,
Bradford,Swindon,1.00,2.00,1.00,2.00,8.00,6.00,4.00,3.00,11.00,12.00,7.00,8.00,3.00,2.00,1.00,0.00,
Bristol City,Doncaster,3.00,0.00,2.00,0.00,15.00,3.00,6.00,1.00,9.00,10.00,10.00,5.00,0.00,0.00,0.00,1.00,
Chesterfield,Scunthorpe,4.00,1.00,0.00,0.00,18.00,7.00,6.00,4.00,12.00,16.00,5.00,7.00,1.00,4.00,0.00,0.00,
Coventry,Yeovil,2.00,1.00,1.00,0.00,14.00,7.00,6.00,4.00,6.00,14.00,7.00,2.00,0.00,0.00,0.00,0.00,
Crawley Town,Fleetwood Town,1.00,0.00,0.00,0.00,7.00,14.00,1.00,5.00,10.00,8.00,7.00,7.00,1.00,1.00,0.00,0.00,
Crewe,Port Vale,2.00,1.00,2.00,1.00,11.00,14.00,5.00,8.00,10.00,14.00,4.00,7.00,0.00,3.00,0.00,0.00,
Leyton Orient,Colchester,0.00,2.00,0.00,0.00,16.00,10.00,5.00,5.00,9.00,14.00,12.00,2.00,2.00,4.00,0.00,1.00,
Oldham,Gillingham,0.00,0.00,0.00,0.00,15.00,5.00,6.00,3.00,3.00,9.00,7.00,0.00,0.00,0.00,0.00,0.00,
Peterboro,Notts County,0.00,0.00,0.00,0.00,9.00,10.00,3.00,1.00,9.00,11.00,7.00,0.00,2.00,1.00,0.00,0.00,
Sheffield United,Rochdale,1.00,0.00,0.00,0.00,12.00,11.00,4.00,3.00,12.00,20.00,8.00,6.00,1.00,3.00,0.00,0.00,
Walsall,Preston,3.00,1.00,1.00,1.00,14.00,13.00,5.00,4.00,10.00,9.00,5.00,3.00,2.00,0.00,0.00,1.00,
Colchester,Sheffield United,2.00,3.00,1.00,0.00,17.00,15.00,6.00,6.00,8.00,5.00,5.00,5.00,1.00,2.00,0.00,0.00,
Doncaster,Crawley Town,0.00,0.00,0.00,0.00,18.00,8.00,4.00,2.00,5.00,16.00,6.00,5.00,1.00,2.00,0.00,0.00,
Gillingham,Peterboro,2.00,1.00,1.00,1.00,10.00,18.00,3.00,4.00,9.00,11.00,5.00,6.00,1.00,4.00,0.00,0.00,
Milton Keynes Dons,Bradford,1.00,2.00,1.00,2.00,14.00,9.00,4.00,7.00,8.00,8.00,14.00,3.00,2.00,3.00,0.00,0.00,
Notts County,Leyton Orient,1.00,1.00,1.00,0.00,7.00,16.00,3.00,2.00,20.00,13.00,3.00,9.00,3.00,3.00,0.00,0.00,
Port Vale,Bristol City,0.00,3.00,0.00,1.00,9.00,14.00,1.00,6.00,6.00,7.00,5.00,1.00,1.00,2.00,0.00,0.00,
Preston,Chesterfield,3.00,3.00,3.00,1.00,11.00,8.00,7.00,3.00,11.00,11.00,4.00,6.00,1.00,2.00,0.00,0.00,
Rochdale,Walsall,4.00,0.00,3.00,0.00,14.00,11.00,6.00,4.00,9.00,8.00,1.00,2.00,0.00,0.00,0.00,0.00,
Scunthorpe,Coventry,2.00,1.00,1.00,1.00,9.00,5.00,5.00,2.00,17.00,8.00,6.00,2.00,1.00,0.00,0.00,1.00,
Swindon,Oldham,2.00,2.00,1.00,1.00,9.00,8.00,4.00,5.00,6.00,18.00,3.00,9.00,0.00,3.00,0.00,0.00,
Yeovil,Crewe,1.00,1.00,0.00,0.00,14.00,8.00,4.00,5.00,14.00,10.00,9.00,7.00,2.00,0.00,0.00,0.00,
Fleetwood Town,Barnsley,0.00,0.00,0.00,0.00,20.00,14.00,8.00,4.00,11.00,8.00,7.00,3.00,2.00,1.00,0.00,0.00,
Colchester,Bradford,0.00,0.00,0.00,0.00,20.00,5.00,9.00,4.00,4.00,8.00,14.00,3.00,1.00,1.00,0.00,0.00,
Doncaster,Chesterfield,3.00,2.00,2.00,1.00,10.00,14.00,5.00,6.00,8.00,11.00,6.00,8.00,1.00,1.00,0.00,0.00,
Fleetwood Town,Bristol City,3.00,3.00,1.00,1.00,9.00,16.00,7.00,7.00,9.00,10.00,9.00,3.00,0.00,2.00,0.00,0.00,
Gillingham,Walsall,0.00,0.00,0.00,0.00,6.00,10.00,2.00,3.00,6.00,10.00,6.00,5.00,0.00,1.00,0.00,0.00,
Milton Keynes Dons,Crewe,6.00,1.00,2.00,1.00,24.00,7.00,14.00,5.00,11.00,5.00,7.00,6.00,0.00,1.00,0.00,0.00,
Notts County,Oldham,0.00,0.00,0.00,0.00,4.00,13.00,2.00,5.00,5.00,9.00,5.00,14.00,1.00,2.00,0.00,0.00,
Port Vale,Barnsley,2.00,1.00,1.00,0.00,19.00,7.00,15.00,6.00,11.00,11.00,8.00,4.00,1.00,2.00,0.00,0.00,
Preston,Crawley Town,2.00,0.00,1.00,0.00,17.00,9.00,7.00,2.00,12.00,14.00,2.00,7.00,3.00,2.00,0.00,0.00,
Rochdale,Coventry,1.00,0.00,1.00,0.00,5.00,7.00,1.00,3.00,17.00,12.00,3.00,1.00,1.00,3.00,0.00,0.00,
Scunthorpe,Leyton Orient,1.00,2.00,0.00,1.00,10.00,13.00,3.00,8.00,12.00,11.00,1.00,10.00,2.00,1.00,0.00,0.00,
Swindon,Sheffield United,5.00,2.00,1.00,0.00,14.00,6.00,9.00,4.00,9.00,14.00,3.00,6.00,1.00,3.00,0.00,0.00,
Yeovil,Peterboro,1.00,0.00,0.00,0.00,9.00,10.00,3.00,4.00,11.00,6.00,9.00,7.00,2.00,1.00,0.00,0.00,
Barnsley,Swindon,0.00,3.00,0.00,0.00,4.00,11.00,2.00,7.00,10.00,10.00,7.00,7.00,0.00,2.00,0.00,0.00,
Bradford,Port Vale,1.00,1.00,1.00,1.00,14.00,6.00,3.00,1.00,12.00,16.00,6.00,5.00,2.00,3.00,0.00,0.00,
Bristol City,Milton Keynes Dons,3.00,2.00,2.00,0.00,13.00,15.00,5.00,8.00,14.00,5.00,4.00,9.00,2.00,2.00,0.00,0.00,
Chesterfield,Notts County,1.00,1.00,0.00,1.00,16.00,7.00,7.00,4.00,4.00,10.00,12.00,6.00,2.00,4.00,0.00,0.00,
Coventry,Preston,0.00,2.00,0.00,0.00,4.00,10.00,0.00,4.00,11.00,15.00,1.00,3.00,4.00,1.00,0.00,0.00,
Crawley Town,Yeovil,2.00,0.00,0.00,0.00,13.00,13.00,4.00,5.00,13.00,8.00,3.00,6.00,0.00,1.00,0.00,0.00,
Crewe,Colchester,0.00,3.00,0.00,0.00,9.00,13.00,4.00,5.00,7.00,5.00,1.00,10.00,0.00,0.00,0.00,0.00,
Leyton Orient,Rochdale,2.00,3.00,2.00,1.00,16.00,7.00,6.00,3.00,12.00,15.00,5.00,4.00,1.00,3.00,0.00,1.00,
Oldham,Scunthorpe,3.00,2.00,1.00,2.00,10.00,5.00,8.00,3.00,8.00,11.00,5.00,1.00,1.00,3.00,0.00,0.00,
Peterboro,Fleetwood Town,1.00,0.00,1.00,0.00,8.00,11.00,4.00,5.00,9.00,11.00,3.00,4.00,0.00,2.00,0.00,1.00,
Sheffield United,Gillingham,2.00,1.00,0.00,0.00,27.00,4.00,7.00,1.00,6.00,9.00,16.00,1.00,0.00,3.00,0.00,0.00,
Walsall,Doncaster,3.00,0.00,1.00,0.00,13.00,8.00,6.00,2.00,8.00,12.00,4.00,2.00,1.00,2.00,0.00,0.00,
Crewe,Notts County,0.00,3.00,0.00,1.00,9.00,10.00,4.00,4.00,9.00,18.00,3.00,6.00,2.00,1.00,0.00,0.00,
Bradford,Crewe,2.00,0.00,0.00,0.00,14.00,7.00,9.00,6.00,13.00,8.00,14.00,1.00,2.00,1.00,0.00,0.00,
Chesterfield,Sheffield United,3.00,2.00,2.00,0.00,9.00,8.00,5.00,2.00,10.00,6.00,2.00,8.00,2.00,2.00,1.00,1.00,
Coventry,Crawley Town,2.00,2.00,2.00,2.00,19.00,6.00,3.00,2.00,9.00,16.00,9.00,1.00,2.00,1.00,0.00,0.00,
Fleetwood Town,Port Vale,1.00,0.00,0.00,0.00,16.00,5.00,7.00,0.00,10.00,10.00,7.00,3.00,0.00,2.00,0.00,1.00,
Leyton Orient,Swindon,1.00,2.00,0.00,1.00,14.00,6.00,5.00,4.00,22.00,12.00,4.00,7.00,5.00,3.00,0.00,0.00,
Notts County,Gillingham,1.00,0.00,1.00,0.00,14.00,17.00,6.00,5.00,7.00,9.00,5.00,8.00,2.00,2.00,0.00,0.00,
Peterboro,Oldham,2.00,2.00,1.00,1.00,10.00,9.00,5.00,4.00,10.00,8.00,10.00,3.00,1.00,2.00,0.00,0.00,
Preston,Colchester,4.00,2.00,2.00,2.00,16.00,13.00,5.00,7.00,7.00,6.00,6.00,10.00,0.00,2.00,0.00,0.00,
Rochdale,Barnsley,0.00,1.00,0.00,1.00,16.00,10.00,5.00,4.00,10.00,12.00,8.00,8.00,0.00,2.00,0.00,0.00,
Scunthorpe,Doncaster,1.00,2.00,1.00,1.00,14.00,18.00,7.00,11.00,15.00,12.00,3.00,9.00,3.00,2.00,0.00,0.00,
Walsall,Bristol City,1.00,1.00,0.00,1.00,11.00,10.00,6.00,4.00,12.00,7.00,5.00,4.00,1.00,1.00,0.00,0.00,
Yeovil,Milton Keynes Dons,0.00,2.00,0.00,0.00,7.00,7.00,2.00,3.00,19.00,16.00,3.00,4.00,3.00,4.00,1.00,0.00,
Bristol City,Chesterfield,3.00,2.00,1.00,1.00,13.00,11.00,4.00,4.00,8.00,8.00,7.00,7.00,0.00,3.00,0.00,0.00,
Colchester,Fleetwood Town,2.00,1.00,1.00,1.00,14.00,13.00,5.00,5.00,4.00,10.00,10.00,8.00,1.00,1.00,0.00,0.00,
Crawley Town,Peterboro,1.00,4.00,1.00,2.00,8.00,18.00,2.00,10.00,13.00,13.00,6.00,14.00,2.00,2.00,0.00,0.00,
Crewe,Coventry,2.00,1.00,2.00,0.00,9.00,12.00,5.00,4.00,14.00,20.00,4.00,9.00,4.00,1.00,0.00,1.00,
Gillingham,Scunthorpe,0.00,3.00,0.00,1.00,12.00,17.00,4.00,6.00,7.00,11.00,7.00,8.00,1.00,3.00,1.00,0.00,
Oldham,Walsall,2.00,1.00,1.00,1.00,14.00,7.00,6.00,1.00,8.00,8.00,11.00,1.00,0.00,2.00,0.00,0.00,
Port Vale,Yeovil,4.00,1.00,2.00,0.00,19.00,9.00,6.00,3.00,3.00,11.00,4.00,5.00,0.00,2.00,0.00,0.00,
Sheffield United,Leyton Orient,2.00,2.00,0.00,1.00,15.00,2.00,7.00,2.00,9.00,15.00,13.00,6.00,1.00,4.00,0.00,1.00,
Barnsley,Bradford,3.00,1.00,0.00,1.00,22.00,10.00,8.00,1.00,10.00,11.00,7.00,5.00,2.00,2.00,0.00,0.00,
Bradford,Sheffield United,0.00,2.00,0.00,0.00,12.00,9.00,5.00,6.00,12.00,9.00,7.00,6.00,3.00,2.00,1.00,0.00,
Chesterfield,Oldham,1.00,1.00,0.00,0.00,13.00,8.00,7.00,5.00,12.00,10.00,5.00,7.00,2.00,3.00,0.00,0.00,
Coventry,Bristol City,1.00,3.00,0.00,2.00,7.00,7.00,3.00,4.00,9.00,16.00,7.00,6.00,0.00,1.00,0.00,0.00,
Fleetwood Town,Doncaster,3.00,1.00,2.00,1.00,17.00,15.00,8.00,5.00,14.00,11.00,5.00,3.00,3.00,0.00,0.00,0.00,
Leyton Orient,Milton Keynes Dons,0.00,0.00,0.00,0.00,10.00,10.00,5.00,2.00,16.00,18.00,6.00,7.00,1.00,4.00,1.00,0.00,
Notts County,Crawley Town,5.00,3.00,3.00,0.00,16.00,10.00,10.00,5.00,6.00,10.00,12.00,4.00,2.00,4.00,0.00,0.00,
Peterboro,Barnsley,2.00,1.00,1.00,1.00,16.00,10.00,6.00,1.00,7.00,9.00,17.00,5.00,0.00,1.00,0.00,1.00,
Preston,Port Vale,2.00,0.00,1.00,0.00,23.00,8.00,7.00,2.00,9.00,9.00,8.00,2.00,1.00,2.00,0.00,1.00,
Rochdale,Gillingham,1.00,1.00,1.00,0.00,20.00,8.00,9.00,2.00,9.00,12.00,12.00,5.00,1.00,1.00,0.00,0.00,
Scunthorpe,Colchester,1.00,1.00,1.00,1.00,11.00,15.00,6.00,4.00,10.00,7.00,3.00,6.00,4.00,0.00,0.00,0.00,
Walsall,Crewe,0.00,1.00,0.00,0.00,8.00,10.00,3.00,7.00,14.00,5.00,5.00,4.00,0.00,2.00,0.00,0.00,
Yeovil,Swindon,1.00,1.00,1.00,0.00,8.00,10.00,5.00,4.00,19.00,12.00,7.00,1.00,2.00,1.00,0.00,1.00,
Barnsley,Notts County,2.00,3.00,2.00,1.00,11.00,9.00,6.00,3.00,6.00,10.00,8.00,1.00,0.00,1.00,0.00,0.00,
Bristol City,Bradford,2.00,2.00,1.00,1.00,19.00,12.00,6.00,6.00,9.00,8.00,6.00,3.00,1.00,0.00,0.00,0.00,
Colchester,Chesterfield,2.00,1.00,0.00,1.00,8.00,10.00,4.00,7.00,6.00,8.00,3.00,3.00,1.00,1.00,0.00,0.00,
Crawley Town,Walsall,1.00,0.00,0.00,0.00,5.00,25.00,3.00,6.00,15.00,12.00,5.00,8.00,3.00,2.00,0.00,0.00,
Crewe,Peterboro,1.00,0.00,1.00,0.00,12.00,11.00,6.00,1.00,11.00,16.00,8.00,11.00,3.00,1.00,0.00,2.00,
Doncaster,Leyton Orient,0.00,2.00,0.00,1.00,8.00,4.00,5.00,2.00,9.00,12.00,3.00,2.00,2.00,2.00,0.00,0.00,
Gillingham,Preston,0.00,1.00,0.00,0.00,8.00,17.00,2.00,3.00,12.00,10.00,6.00,5.00,1.00,1.00,0.00,0.00,
Milton Keynes Dons,Fleetwood Town,2.00,1.00,0.00,0.00,17.00,4.00,7.00,3.00,7.00,14.00,10.00,2.00,1.00,5.00,0.00,0.00,
Oldham,Coventry,4.00,1.00,3.00,1.00,11.00,4.00,7.00,2.00,6.00,11.00,5.00,2.00,0.00,1.00,0.00,0.00,
Port Vale,Scunthorpe,2.00,2.00,1.00,1.00,11.00,7.00,5.00,4.00,16.00,13.00,6.00,4.00,2.00,2.00,0.00,1.00,
Sheffield United,Yeovil,2.00,0.00,1.00,0.00,7.00,9.00,3.00,2.00,8.00,18.00,2.00,7.00,0.00,2.00,0.00,0.00,
Swindon,Rochdale,2.00,3.00,1.00,0.00,14.00,8.00,6.00,6.00,4.00,15.00,7.00,5.00,0.00,2.00,0.00,0.00,
Barnsley,Bristol City,2.00,2.00,0.00,1.00,13.00,6.00,4.00,2.00,6.00,8.00,5.00,4.00,1.00,0.00,0.00,0.00,
Coventry,Peterboro,3.00,2.00,0.00,2.00,10.00,13.00,6.00,5.00,15.00,12.00,1.00,8.00,3.00,1.00,0.00,0.00,
Crewe,Sheffield United,0.00,1.00,0.00,0.00,5.00,12.00,4.00,4.00,11.00,10.00,4.00,3.00,1.00,3.00,1.00,0.00,
Doncaster,Milton Keynes Dons,0.00,0.00,0.00,0.00,8.00,14.00,2.00,6.00,16.00,14.00,5.00,10.00,3.00,3.00,0.00,0.00,
Gillingham,Crawley Town,1.00,1.00,1.00,1.00,13.00,12.00,5.00,4.00,9.00,13.00,6.00,8.00,1.00,1.00,0.00,0.00,
