HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,
Chesterfield,Yeovil,0.00,0.00,0.00,0.00,7.00,11.00,3.00,8.00,11.00,14.00,9.00,4.00,2.00,0.00,0.00,0.00,
Colchester,Port Vale,1.00,2.00,0.00,0.00,16.00,11.00,6.00,4.00,8.00,14.00,5.00,5.00,2.00,4.00,0.00,0.00,
Crawley Town,Crewe,1.00,1.00,0.00,1.00,13.00,3.00,6.00,2.00,12.00,10.00,6.00,6.00,0.00,0.00,0.00,0.00,
Fleetwood Town,Gillingham,1.00,0.00,1.00,0.00,12.00,12.00,6.00,7.00,9.00,10.00,7.00,7.00,0.00,0.00,0.00,0.00,
Leyton Orient,Coventry,2.00,2.00,0.00,1.00,4.00,10.00,3.00,4.00,15.00,16.00,3.00,4.00,2.00,3.00,0.00,0.00,
Milton Keynes Dons,Swindon,2.00,1.00,0.00,1.00,18.00,7.00,7.00,3.00,15.00,13.00,8.00,5.00,5.00,3.00,0.00,0.00,
Notts County,Walsall,1.00,2.00,1.00,1.00,13.00,14.00,6.00,8.00,7.00,10.00,7.00,3.00,1.00,1.00,0.00,0.00,
Peterboro,Scunthorpe,1.00,2.00,0.00,1.00,10.00,6.00,5.00,5.00,12.00,10.00,9.00,2.00,1.00,3.00,0.00,0.00,
Rochdale,Preston,3.00,0.00,2.00,0.00,12.00,13.00,4.00,2.00,10.00,10.00,1.00,9.00,2.00,2.00,0.00,0.00,
Sheffield United,Barnsley,0.00,1.00,0.00,0.00,12.00,8.00,5.00,4.00,11.00,18.00,10.00,4.00,0.00,2.00,0.00,0.00,
Swindon,Preston,1.00,0.00,0.00,0.00,15.00,9.00,8.00,5.00,7.00,9.00,8.00,6.00,2.00,1.00,0.00,0.00,
Barnsley,Colchester,3.00,2.00,1.00,1.00,8.00,12.00,4.00,7.00,6.00,14.00,5.00,2.00,1.00,0.00,0.00,0.00,
Coventry,Notts County,0.00,1.00,0.00,0.00,7.00,8.00,0.00,5.00,17.00,12.00,4.00,4.00,1.00,1.00,0.00,0.00,
Crewe,Chesterfield,0.00,0.00,0.00,0.00,6.00,9.00,2.00,4.00,7.00,14.00,3.00,9.00,1.00,2.00,0.00,0.00,
Doncaster,Sheffield United,0.00,1.00,0.00,0.00,10.00,5.00,5.00,3.00,19.00,13.00,12.00,5.00,4.00,1.00,0.00,1.00,
Gillingham,Leyton Orient,3.00,2.00,0.00,0.00,8.00,9.00,5.00,4.00,8.00,5.00,5.00,5.00,2.00,1.00,1.00,0.00,
Oldham,Crawley Town,1.00,1.00,1.00,1.00,13.00,3.00,6.00,2.00,6.00,18.00,11.00,2.00,0.00,3.00,0.00,0.00,
Port Vale,Rochdale,1.00,0.00,0.00,0.00,9.00,12.00,2.00,4.00,7.00,11.00,2.00,4.00,2.00,3.00,0.00,0.00,
Preston,Bradford,1.00,2.00,0.00,1.00,17.00,13.00,6.00,3.00,9.00,11.00,4.00,11.00,0.00,0.00,0.00,0.00,
Swindon,Bristol City,1.00,0.00,0.00,0.00,16.00,4.00,9.00,1.00,10.00,11.00,8.00,3.00,2.00,2.00,0.00,1.00,
Walsall,Peterboro,0.00,0.00,0.00,0.00,14.00,5.00,2.00,0.00,11.00,14.00,8.00,2.00,2.00,3.00,0.00,0.00,
Yeovil,Fleetwood Town,0.00,1.00,0.00,0.00,13.00,7.00,4.00,5.00,7.00,8.00,12.00,9.00,2.00,3.00,0.00,0.00,
Bradford,Gillingham,1.00,1.00,0.00,0.00,11.00,9.00,4.00,3.00,5.00,6.00,11.00,7.00,0.00,1.00,0.00,0.00,
Bristol City,Preston,0.00,1.00,0.00,1.00,17.00,7.00,4.00,7.00,6.00,20.00,10.00,2.00,0.00,4.00,0.00,0.00,
Chesterfield,Barnsley,2.00,1.00,1.00,0.00,10.00,11.00,3.00,5.00,7.00,7.00,6.00,8.00,2.00,1.00,0.00,0.00,
Colchester,Coventry,0.00,1.00,0.00,0.00,8.00,11.00,2.00,2.00,7.00,8.00,5.00,7.00,0.00,1.00,0.00,0.00,
Crawley Town,Scunthorpe,2.00,2.00,0.00,1.00,11.00,10.00,4.00,4.00,12.00,14.00,5.00,7.00,1.00,4.00,0.00,0.00,
Fleetwood Town,Walsall,0.00,1.00,0.00,1.00,8.00,10.00,3.00,2.00,10.00,9.00,9.00,5.00,1.00,0.00,0.00,0.00,
Leyton Orient,Crewe,4.00,1.00,2.00,0.00,15.00,10.00,11.00,2.00,16.00,8.00,6.00,4.00,4.00,1.00,0.00,0.00,
Milton Keynes Dons,Port Vale,1.00,0.00,1.00,0.00,18.00,3.00,5.00,1.00,11.00,8.00,8.00,1.00,3.00,0.00,0.00,1.00,
Notts County,Yeovil,1.00,2.00,0.00,0.00,5.00,17.00,3.00,7.00,6.00,17.00,2.00,14.00,1.00,4.00,1.00,0.00,
Peterboro,Swindon,1.00,2.00,0.00,1.00,18.00,14.00,4.00,6.00,15.00,11.00,8.00,0.00,0.00,0.00,0.00,0.00,
Rochdale,Doncaster,1.00,3.00,1.00,1.00,2.00,13.00,2.00,5.00,7.00,5.00,4.00,11.00,1.00,1.00,1.00,0.00,
Sheffield United,Oldham,1.00,1.00,0.00,1.00,12.00,11.00,4.00,3.00,7.00,19.00,5.00,6.00,5.00,2.00,0.00,1.00,
Milton Keynes Dons,Rochdale,2.00,2.00,1.00,1.00,27.00,8.00,11.00,1.00,7.00,15.00,12.00,3.00,0.00,4.00,0.00,0.00,
Peterboro,Bristol City,0.00,3.00,0.00,2.00,6.00,15.00,1.00,7.00,13.00,8.00,5.00,1.00,1.00,0.00,0.00,0.00,
Sheffield United,Notts County,1.00,1.00,0.00,1.00,19.00,7.00,9.00,5.00,5.00,16.00,11.00,4.00,0.00,2.00,0.00,0.00,
Barnsley,Scunthorpe,1.00,2.00,1.00,2.00,9.00,7.00,3.00,4.00,7.00,8.00,7.00,4.00,2.00,2.00,0.00,0.00,
Bradford,Leyton Orient,3.00,1.00,1.00,0.00,19.00,4.00,11.00,1.00,11.00,9.00,9.00,3.00,2.00,1.00,0.00,1.00,
Coventry,Walsall,0.00,0.00,0.00,0.00,9.00,9.00,5.00,1.00,12.00,10.00,7.00,4.00,1.00,0.00,0.00,0.00,
Crawley Town,Chesterfield,1.00,1.00,0.00,0.00,7.00,13.00,3.00,4.00,13.00,12.00,4.00,6.00,1.00,1.00,1.00,1.00,
Crewe,Doncaster,1.00,1.00,1.00,0.00,11.00,14.00,5.00,6.00,6.00,9.00,1.00,8.00,1.00,1.00,0.00,0.00,
Gillingham,Port Vale,2.00,2.00,1.00,1.00,16.00,15.00,8.00,7.00,9.00,8.00,5.00,4.00,1.00,2.00,0.00,0.00,
Milton Keynes Dons,Colchester,6.00,0.00,3.00,0.00,25.00,9.00,10.00,1.00,12.00,5.00,4.00,12.00,0.00,2.00,0.00,1.00,
Rochdale,Oldham,0.00,3.00,0.00,1.00,7.00,10.00,1.00,7.00,15.00,5.00,3.00,2.00,2.00,2.00,0.00,0.00,
Swindon,Fleetwood Town,1.00,0.00,0.00,0.00,18.00,6.00,5.00,2.00,10.00,9.00,9.00,4.00,1.00,4.00,0.00,0.00,
Yeovil,Preston,0.00,2.00,0.00,1.00,11.00,7.00,0.00,4.00,12.00,16.00,2.00,2.00,0.00,2.00,1.00,0.00,
Barnsley,Doncaster,1.00,1.00,1.00,0.00,9.00,14.00,3.00,8.00,9.00,7.00,7.00,7.00,1.00,0.00,0.00,0.00,
Sheffield United,Milton Keynes Dons,0.00,1.00,0.00,0.00,9.00,1.00,4.00,1.00,12.00,15.00,6.00,4.00,2.00,5.00,0.00,1.00,
Bristol City,Crawley Town,1.00,0.00,0.00,0.00,19.00,11.00,7.00,0.00,8.00,18.00,14.00,4.00,1.00,1.00,0.00,0.00,
Chesterfield,Bradford,0.00,1.00,0.00,0.00,9.00,11.00,5.00,4.00,6.00,7.00,6.00,7.00,1.00,4.00,1.00,0.00,
Colchester,Rochdale,1.00,4.00,0.00,3.00,10.00,14.00,6.00,7.00,13.00,13.00,9.00,6.00,2.00,2.00,0.00,0.00,
Doncaster,Gillingham,1.00,2.00,0.00,0.00,16.00,7.00,8.00,2.00,9.00,11.00,11.00,2.00,1.00,3.00,0.00,0.00,
Fleetwood Town,Sheffield United,1.00,1.00,0.00,1.00,13.00,19.00,6.00,6.00,15.00,16.00,2.00,4.00,2.00,2.00,0.00,0.00,
Leyton Orient,Peterboro,1.00,2.00,1.00,1.00,12.00,8.00,5.00,2.00,13.00,16.00,6.00,4.00,1.00,2.00,0.00,1.00,
Notts County,Swindon,0.00,3.00,0.00,1.00,9.00,21.00,4.00,9.00,11.00,7.00,2.00,8.00,2.00,2.00,1.00,0.00,
Oldham,Yeovil,0.00,4.00,0.00,3.00,11.00,13.00,2.00,5.00,6.00,13.00,2.00,5.00,0.00,2.00,0.00,0.00,
Port Vale,Coventry,0.00,2.00,0.00,0.00,9.00,12.00,3.00,6.00,9.00,6.00,7.00,3.00,0.00,2.00,0.00,0.00,
Preston,Milton Keynes Dons,1.00,1.00,0.00,1.00,13.00,11.00,6.00,3.00,11.00,13.00,5.00,6.00,1.00,2.00,0.00,0.00,
Scunthorpe,Crewe,2.00,1.00,1.00,1.00,20.00,9.00,6.00,5.00,12.00,9.00,6.00,6.00,0.00,2.00,0.00,0.00,
Walsall,Barnsley,3.00,1.00,2.00,1.00,9.00,15.00,4.00,5.00,5.00,13.00,6.00,4.00,1.00,3.00,0.00,0.00,
Barnsley,Leyton Orient,2.00,0.00,2.00,0.00,7.00,6.00,4.00,2.00,10.00,9.00,2.00,5.00,1.00,2.00,1.00,0.00,
Bradford,Scunthorpe,1.00,1.00,1.00,0.00,7.00,10.00,4.00,6.00,9.00,14.00,3.00,8.00,1.00,2.00,0.00,0.00,
Coventry,Fleetwood Town,1.00,1.00,0.00,1.00,16.00,6.00,3.00,3.00,10.00,19.00,6.00,3.00,2.00,1.00,0.00,0.00,
Crawley Town,Port Vale,1.00,2.00,0.00,2.00,9.00,12.00,3.00,7.00,8.00,11.00,4.00,3.00,2.00,0.00,0.00,0.00,
Crewe,Bristol City,1.00,0.00,0.00,0.00,14.00,13.00,7.00,3.00,14.00,14.00,3.00,11.00,2.00,0.00,0.00,1.00,
Gillingham,Chesterfield,2.00,3.00,0.00,1.00,9.00,10.00,4.00,5.00,9.00,10.00,2.00,4.00,1.00,0.00,0.00,0.00,
Milton Keynes Dons,Oldham,7.00,0.00,2.00,0.00,26.00,5.00,14.00,2.00,9.00,13.00,9.00,0.00,2.00,2.00,0.00,0.00,
Peterboro,Preston,0.00,1.00,0.00,1.00,12.00,10.00,5.00,5.00,12.00,14.00,7.00,7.00,2.00,3.00,0.00,0.00,
Rochdale,Notts County,2.00,2.00,0.00,1.00,14.00,9.00,4.00,6.00,15.00,9.00,8.00,0.00,3.00,2.00,0.00,0.00,
Sheffield United,Walsall,1.00,1.00,0.00,0.00,18.00,6.00,4.00,2.00,9.00,8.00,8.00,3.00,0.00,1.00,0.00,0.00,
Swindon,Doncaster,0.00,1.00,0.00,1.00,12.00,8.00,1.00,2.00,9.00,14.00,6.00,6.00,1.00,5.00,0.00,0.00,
Yeovil,Colchester,0.00,1.00,0.00,0.00,11.00,4.00,5.00,3.00,13.00,9.00,5.00,8.00,0.00,0.00,0.00,0.00,
Bristol City,Yeovil,2.00,1.00,1.00,0.00,10.00,16.00,6.00,3.00,5.00,15.00,5.00,10.00,1.00,4.00,0.00,0.00,
Chesterfield,Peterboro,3.00,2.00,2.00,0.00,19.00,6.00,7.00,4.00,8.00,6.00,9.00,2.00,4.00,2.00,0.00,0.00,
Colchester,Gillingham,1.00,2.00,0.00,2.00,18.00,6.00,7.00,4.00,5.00,10.00,7.00,0.00,0.00,3.00,0.00,0.00,
Doncaster,Coventry,2.00,0.00,2.00,0.00,8.00,3.00,3.00,0.00,13.00,11.00,3.00,3.00,1.00,2.00,0.00,2.00,
Fleetwood Town,Bradford,0.00,2.00,0.00,1.00,13.00,12.00,0.00,4.00,13.00,12.00,2.00,2.00,2.00,0.00,0.00,0.00,
Leyton Orient,Crawley Town,4.00,1.00,2.00,1.00,19.00,7.00,11.00,2.00,10.00,10.00,4.00,4.00,4.00,3.00,0.00,0.00,
Notts County,Milton Keynes Dons,0.00,1.00,0.00,1.00,11.00,26.00,4.00,8.00,13.00,10.00,4.00,7.00,1.00,0.00,0.00,0.00,
Oldham,Crewe,1.00,2.00,0.00,0.00,20.00,6.00,9.00,3.00,15.00,9.00,11.00,3.00,0.00,1.00,0.00,1.00,
Port Vale,Sheffield United,2.00,1.00,1.00,0.00,9.00,7.00,4.00,4.00,5.00,9.00,8.00,9.00,2.00,0.00,0.00,1.00,
Preston,Barnsley,1.00,0.00,1.00,0.00,20.00,8.00,7.00,3.00,10.00,9.00,10.00,1.00,2.00,2.00,0.00,0.00,
Scunthorpe,Rochdale,2.00,1.00,0.00,0.00,7.00,10.00,3.00,5.00,15.00,17.00,9.00,6.00,1.00,1.00,0.00,0.00,
Walsall,Swindon,1.00,4.00,1.00,1.00,7.00,11.00,3.00,5.00,8.00,12.00,5.00,7.00,2.00,1.00,0.00,0.00,
Bradford,Notts County,1.00,0.00,1.00,0.00,12.00,7.00,2.00,0.00,9.00,14.00,8.00,2.00,4.00,1.00,0.00,0.00,
Coventry,Chesterfield,0.00,0.00,0.00,0.00,14.00,9.00,4.00,2.00,8.00,15.00,8.00,6.00,3.00,2.00,0.00,0.00,
Crawley Town,Colchester,0.00,0.00,0.00,0.00,8.00,12.00,0.00,4.00,9.00,10.00,4.00,11.00,1.00,0.00,0.00,0.00,
Crewe,Preston,1.00,1.00,0.00,0.00,2.00,15.00,1.00,6.00,5.00,12.00,2.00,3.00,0.00,0.00,0.00,0.00,
Gillingham,Bristol City,1.00,3.00,0.00,2.00,11.00,13.00,4.00,7.00,15.00,4.00,7.00,7.00,3.00,2.00,0.00,0.00,
Milton Keynes Dons,Walsall,0.00,3.00,0.00,1.00,16.00,12.00,6.00,5.00,4.00,13.00,8.00,4.00,0.00,1.00,0.00,0.00,
Peterboro,Doncaster,0.00,0.00,0.00,0.00,12.00,9.00,5.00,3.00,12.00,13.00,5.00,7.00,1.00,3.00,0.00,0.00,
Rochdale,Fleetwood Town,0.00,2.00,0.00,2.00,9.00,8.00,6.00,4.00,12.00,9.00,4.00,7.00,0.00,1.00,0.00,0.00,
Swindon,Port Vale,1.00,0.00,0.00,0.00,11.00,2.00,7.00,1.00,5.00,5.00,6.00,9.00,2.00,2.00,0.00,0.00,
Yeovil,Leyton Orient,0.00,3.00,0.00,1.00,10.00,10.00,4.00,7.00,12.00,9.00,7.00,4.00,0.00,1.00,0.00,0.00,
Fleetwood Town,Swindon,2.00,2.00,0.00,0.00,8.00,16.00,3.00,5.00,19.00,15.00,4.00,7.00,3.00,1.00,0.00,0.00,
Port Vale,Gillingham,2.00,1.00,1.00,1.00,16.00,13.00,9.00,5.00,6.00,5.00,8.00,5.00,1.00,0.00,0.00,0.00,
Walsall,Coventry,0.00,2.00,0.00,1.00,16.00,8.00,6.00,6.00,6.00,13.00,4.00,5.00,0.00,1.00,0.00,0.00,
Barnsley,Yeovil,2.00,0.00,0.00,0.00,11.00,7.00,4.00,0.00,12.00,11.00,6.00,4.00,0.00,3.00,0.00,1.00,
Bradford,Rochdale,1.00,2.00,1.00,1.00,11.00,6.00,3.00,2.00,11.00,11.00,6.00,0.00,2.00,1.00,1.00,0.00,
Bristol City,Notts County,4.00,0.00,2.00,0.00,12.00,7.00,10.00,2.00,11.00,8.00,5.00,5.00,0.00,0.00,0.00,0.00,
Chesterfield,Port Vale,3.00,0.00,1.00,0.00,19.00,12.00,7.00,3.00,7.00,8.00,4.00,3.00,1.00,4.00,0.00,0.00,
Crawley Town,Milton Keynes Dons,2.00,2.00,1.00,0.00,4.00,17.00,3.00,8.00,19.00,8.00,0.00,9.00,1.00,3.00,0.00,0.00,
Crewe,Gillingham,3.00,1.00,2.00,0.00,13.00,9.00,8.00,3.00,13.00,19.00,2.00,3.00,0.00,2.00,0.00,0.00,
Leyton Orient,Fleetwood Town,0.00,1.00,0.00,0.00,14.00,10.00,4.00,3.00,12.00,9.00,4.00,4.00,3.00,2.00,0.00,0.00,
Oldham,Doncaster,2.00,2.00,1.00,0.00,10.00,11.00,3.00,4.00,9.00,11.00,6.00,3.00,0.00,3.00,1.00,0.00,
Peterboro,Colchester,0.00,2.00,0.00,0.00,13.00,8.00,4.00,3.00,7.00,12.00,7.00,2.00,5.00,3.00,0.00,0.00,
Sheffield United,Preston,2.00,1.00,0.00,0.00,15.00,15.00,5.00,3.00,12.00,21.00,7.00,3.00,1.00,4.00,0.00,0.00,
Walsall,Scunthorpe,1.00,4.00,0.00,2.00,18.00,5.00,6.00,3.00,15.00,7.00,4.00,2.00,2.00,1.00,0.00,0.00,
Coventry,Swindon,0.00,3.00,0.00,2.00,8.00,11.00,3.00,4.00,21.00,9.00,3.00,2.00,2.00,1.00,0.00,0.00,
Sheffield United,Notts County,2.00,1.00,1.00,0.00,28.00,5.00,7.00,2.00,8.00,19.00,4.00,1.00,1.00,3.00,0.00,1.00,
Bristol City,Bradford,2.00,2.00,1.00,1.00,12.00,10.00,5.00,2.00,8.00,11.00,2.00,6.00,0.00,0.00,0.00,0.00,
Carlisle,Leyton Orient,1.00,5.00,1.00,2.00,5.00,15.00,2.00,9.00,8.00,9.00,7.00,5.00,2.00,2.00,1.00,0.00,
Crawley Town,Coventry,3.00,2.00,2.00,0.00,16.00,14.00,6.00,2.00,6.00,7.00,6.00,5.00,0.00,0.00,0.00,0.00,
Crewe,Rotherham,3.00,3.00,2.00,1.00,7.00,13.00,4.00,7.00,8.00,14.00,4.00,4.00,0.00,1.00,0.00,0.00,
Gillingham,Colchester,0.00,1.00,0.00,0.00,14.00,15.00,6.00,5.00,15.00,11.00,8.00,1.00,2.00,0.00,0.00,0.00,
Peterboro,Swindon,1.00,0.00,1.00,0.00,10.00,11.00,2.00,6.00,15.00,15.00,6.00,5.00,2.00,4.00,0.00,0.00,
Port Vale,Brentford,1.00,1.00,1.00,1.00,6.00,11.00,3.00,4.00,5.00,8.00,5.00,10.00,1.00,0.00,0.00,0.00,
Preston,Wolves,0.00,0.00,0.00,0.00,6.00,12.00,2.00,2.00,11.00,10.00,7.00,8.00,2.00,2.00,0.00,0.00,
Shrewsbury,Milton Keynes Dons,0.00,0.00,0.00,0.00,10.00,10.00,5.00,2.00,10.00,15.00,6.00,6.00,0.00,1.00,0.00,0.00,
Stevenage,Oldham,3.00,4.00,1.00,0.00,11.00,11.00,5.00,6.00,13.00,20.00,7.00,9.00,7.00,4.00,0.00,0.00,
Walsall,Tranmere,3.00,1.00,2.00,1.00,16.00,6.00,6.00,1.00,10.00,17.00,9.00,6.00,0.00,5.00,0.00,0.00,
Bradford,Carlisle,4.00,0.00,3.00,0.00,25.00,5.00,15.00,1.00,13.00,6.00,8.00,2.00,0.00,0.00,0.00,0.00,
Brentford,Sheffield United,3.00,1.00,1.00,0.00,9.00,3.00,6.00,2.00,9.00,11.00,4.00,2.00,1.00,3.00,0.00,0.00,
Colchester,Port Vale,1.00,0.00,0.00,0.00,10.00,9.00,6.00,3.00,5.00,10.00,8.00,8.00,4.00,1.00,0.00,0.00,
Leyton Orient,Shrewsbury,3.00,0.00,0.00,0.00,23.00,12.00,7.00,4.00,5.00,10.00,5.00,6.00,1.00,1.00,0.00,0.00,
Milton Keynes Dons,Crewe,1.00,0.00,1.00,0.00,19.00,10.00,5.00,2.00,11.00,15.00,5.00,3.00,2.00,1.00,0.00,0.00,
Notts County,Peterboro,2.00,4.00,1.00,1.00,15.00,17.00,6.00,8.00,14.00,13.00,2.00,5.00,0.00,1.00,0.00,0.00,
Oldham,Walsall,0.00,1.00,0.00,1.00,13.00,7.00,2.00,2.00,7.00,12.00,9.00,12.00,1.00,1.00,0.00,0.00,
Rotherham,Preston,0.00,0.00,0.00,0.00,8.00,7.00,1.00,4.00,9.00,10.00,2.00,11.00,3.00,1.00,0.00,0.00,
Swindon,Stevenage,1.00,0.00,1.00,0.00,12.00,5.00,6.00,1.00,7.00,13.00,10.00,6.00,3.00,0.00,0.00,0.00,
Tranmere,Crawley Town,3.00,3.00,2.00,1.00,11.00,7.00,4.00,6.00,9.00,5.00,3.00,5.00,3.00,0.00,0.00,0.00,
Wolves,Gillingham,4.00,0.00,3.00,0.00,24.00,13.00,9.00,3.00,5.00,13.00,10.00,2.00,0.00,2.00,0.00,0.00,
Coventry,Bristol City,5.00,4.00,3.00,0.00,20.00,10.00,15.00,6.00,12.00,13.00,3.00,4.00,2.00,4.00,0.00,0.00,
Bristol City,Wolves,1.00,2.00,0.00,1.00,11.00,13.00,3.00,8.00,9.00,11.00,7.00,11.00,2.00,3.00,0.00,0.00,
Carlisle,Coventry,0.00,4.00,0.00,3.00,11.00,18.00,3.00,9.00,8.00,11.00,8.00,4.00,2.00,3.00,0.00,0.00,
Crawley Town,Rotherham,1.00,2.00,1.00,1.00,15.00,14.00,7.00,6.00,12.00,9.00,6.00,9.00,2.00,0.00,0.00,0.00,
Crewe,Tranmere,2.00,1.00,1.00,0.00,9.00,7.00,6.00,4.00,12.00,13.00,5.00,6.00,1.00,2.00,0.00,1.00,
Gillingham,Brentford,1.00,1.00,1.00,0.00,3.00,15.00,2.00,5.00,18.00,6.00,5.00,6.00,3.00,1.00,0.00,0.00,
Peterboro,Oldham,2.00,1.00,1.00,0.00,12.00,12.00,4.00,3.00,13.00,15.00,5.00,3.00,1.00,1.00,0.00,0.00,
Port Vale,Bradford,2.00,1.00,1.00,0.00,8.00,9.00,5.00,3.00,11.00,10.00,4.00,5.00,3.00,1.00,0.00,0.00,
Preston,Milton Keynes Dons,2.00,2.00,2.00,1.00,14.00,7.00,5.00,2.00,11.00,4.00,4.00,0.00,0.00,1.00,0.00,0.00,
Sheffield United,Colchester,1.00,1.00,1.00,1.00,12.00,3.00,5.00,1.00,14.00,20.00,5.00,4.00,3.00,1.00,0.00,0.00,
Shrewsbury,Swindon,2.00,0.00,1.00,0.00,14.00,8.00,4.00,2.00,10.00,9.00,1.00,5.00,1.00,3.00,0.00,0.00,
Stevenage,Leyton Orient,0.00,1.00,0.00,1.00,10.00,5.00,3.00,1.00,12.00,4.00,6.00,5.00,2.00,3.00,0.00,0.00,
Walsall,Notts County,1.00,1.00,0.00,0.00,12.00,14.00,6.00,6.00,10.00,10.00,5.00,4.00,0.00,2.00,0.00,0.00,
Colchester,Carlisle,1.00,1.00,0.00,1.00,22.00,11.00,8.00,5.00,4.00,11.00,14.00,5.00,0.00,4.00,0.00,0.00,
Wolves,Crawley Town,2.00,1.00,1.00,0.00,11.00,14.00,5.00,3.00,12.00,6.00,9.00,9.00,2.00,3.00,0.00,0.00,
Bradford,Sheffield United,2.00,0.00,1.00,0.00,10.00,9.00,6.00,5.00,10.00,12.00,7.00,7.00,1.00,1.00,0.00,0.00,
Brentford,Walsall,1.00,0.00,1.00,0.00,10.00,8.00,4.00,2.00,7.00,8.00,1.00,8.00,1.00,1.00,0.00,0.00,
Leyton Orient,Crewe,2.00,0.00,2.00,0.00,10.00,13.00,4.00,4.00,17.00,14.00,4.00,10.00,3.00,3.00,0.00,0.00,
Milton Keynes Dons,Bristol City,2.00,2.00,0.00,1.00,10.00,9.00,5.00,4.00,18.00,15.00,5.00,4.00,1.00,0.00,0.00,0.00,
Notts County,Stevenage,0.00,1.00,0.00,0.00,9.00,8.00,2.00,4.00,19.00,14.00,6.00,4.00,2.00,3.00,0.00,0.00,
Oldham,Port Vale,3.00,1.00,1.00,1.00,20.00,11.00,10.00,3.00,10.00,12.00,6.00,9.00,1.00,3.00,0.00,0.00,
Rotherham,Shrewsbury,2.00,2.00,0.00,1.00,10.00,8.00,4.00,5.00,12.00,6.00,2.00,5.00,2.00,1.00,0.00,0.00,
Swindon,Gillingham,2.00,2.00,1.00,1.00,15.00,13.00,7.00,6.00,11.00,16.00,4.00,3.00,0.00,1.00,0.00,0.00,
Tranmere,Peterboro,0.00,5.00,0.00,3.00,6.00,21.00,1.00,11.00,10.00,10.00,5.00,4.00,3.00,0.00,1.00,0.00,
Coventry,Preston,4.00,4.00,1.00,1.00,13.00,11.00,5.00,7.00,9.00,15.00,3.00,5.00,1.00,1.00,0.00,0.00,
Brentford,Carlisle,0.00,0.00,0.00,0.00,10.00,4.00,2.00,1.00,15.00,13.00,6.00,2.00,2.00,3.00,1.00,0.00,
Colchester,Leyton Orient,1.00,2.00,1.00,1.00,11.00,9.00,4.00,4.00,10.00,10.00,12.00,3.00,0.00,0.00,0.00,0.00,
Gillingham,Bristol City,1.00,1.00,1.00,1.00,15.00,20.00,3.00,7.00,12.00,6.00,4.00,9.00,0.00,0.00,0.00,0.00,
Notts County,Rotherham,0.00,1.00,0.00,1.00,5.00,19.00,2.00,9.00,12.00,12.00,1.00,5.00,3.00,1.00,0.00,0.00,
Oldham,Tranmere,0.00,1.00,0.00,0.00,11.00,5.00,2.00,0.00,12.00,9.00,13.00,3.00,1.00,1.00,0.00,0.00,
Peterboro,Crawley Town,0.00,2.00,0.00,1.00,9.00,13.00,4.00,9.00,10.00,12.00,8.00,5.00,1.00,3.00,0.00,1.00,
Port Vale,Wolves,1.00,3.00,0.00,0.00,8.00,14.00,5.00,7.00,7.00,11.00,6.00,6.00,1.00,1.00,0.00,0.00,
Sheffield United,Milton Keynes Dons,0.00,1.00,0.00,0.00,8.00,7.00,1.00,2.00,15.00,18.00,4.00,3.00,2.00,4.00,1.00,0.00,
Shrewsbury,Coventry,1.00,1.00,0.00,1.00,7.00,15.00,3.00,7.00,6.00,7.00,7.00,8.00,0.00,2.00,0.00,0.00,
Stevenage,Bradford,1.00,1.00,1.00,0.00,19.00,12.00,9.00,2.00,17.00,15.00,8.00,7.00,3.00,3.00,0.00,0.00,
Swindon,Crewe,5.00,0.00,2.00,0.00,13.00,5.00,7.00,4.00,13.00,13.00,8.00,4.00,2.00,3.00,0.00,0.00,
Walsall,Preston,0.00,3.00,0.00,1.00,9.00,15.00,2.00,7.00,11.00,16.00,6.00,8.00,0.00,1.00,0.00,0.00,
Bradford,Brentford,4.00,0.00,1.00,0.00,13.00,14.00,5.00,3.00,10.00,11.00,6.00,9.00,1.00,0.00,0.00,1.00,
Carlisle,Port Vale,0.00,1.00,0.00,0.00,13.00,8.00,2.00,3.00,11.00,18.00,9.00,6.00,1.00,0.00,0.00,0.00,
Crawley Town,Gillingham,3.00,2.00,0.00,0.00,20.00,9.00,10.00,3.00,6.00,16.00,10.00,1.00,2.00,2.00,1.00,1.00,
Crewe,Peterboro,2.00,2.00,2.00,1.00,4.00,12.00,3.00,5.00,9.00,12.00,1.00,9.00,0.00,0.00,0.00,0.00,
Milton Keynes Dons,Swindon,1.00,1.00,0.00,1.00,15.00,14.00,3.00,6.00,11.00,9.00,11.00,7.00,2.00,4.00,0.00,1.00,
Rotherham,Sheffield United,3.00,1.00,0.00,1.00,10.00,6.00,6.00,1.00,11.00,13.00,4.00,3.00,2.00,2.00,0.00,0.00,
Tranmere,Stevenage,0.00,0.00,0.00,0.00,15.00,9.00,2.00,1.00,10.00,20.00,4.00,4.00,2.00,4.00,0.00,0.00,
Coventry,Colchester,2.00,0.00,1.00,0.00,23.00,3.00,11.00,0.00,10.00,12.00,6.00,4.00,0.00,0.00,0.00,0.00,
Preston,Oldham,2.00,1.00,2.00,0.00,7.00,18.00,1.00,5.00,20.00,12.00,1.00,12.00,3.00,0.00,0.00,0.00,
Bradford,Colchester,2.00,2.00,1.00,2.00,17.00,11.00,7.00,4.00,8.00,13.00,8.00,4.00,1.00,3.00,0.00,1.00,
