HomeTeam,AwayTeam,Date,FTHG,FTAG,HTHG,HTAG,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
Crawley Town,Gillingham,07/09/2013,3,2,0,0,20,9,10,3,6,16,10,1,2,2,1,1
Crewe,Peterboro,07/09/2013,2,2,2,1,4,12,3,5,9,12,1,9,0,0,0,0
Milton Keynes Dons,Swindon,07/09/2013,1,1,0,1,15,14,3,6,11,9,11,7,2,4,0,1
Rotherham,Sheffield United,07/09/2013,3,1,0,1,10,6,6,1,11,13,4,3,2,2,0,0
Tranmere,Stevenage,07/09/2013,0,0,0,0,15,9,2,1,10,20,4,4,2,4,0,0
Coventry,Colchester,08/09/2013,2,0,1,0,23,3,11,0,10,12,6,4,0,0,0,0
Preston,Oldham,09/09/2013,2,1,2,0,7,18,1,5,20,12,1,12,3,0,0,0
Bradford,Colchester,14/09/2013,2,2,1,2,17,11,7,4,8,13,8,4,1,3,0,1
Bristol City,Peterboro,14/09/2013,0,3,0,1,10,10,3,5,9,10,10,5,2,2,0,0
Carlisle,Sheffield United,14/09/2013,1,0,0,0,8,8,4,3,17,16,9,5,4,2,0,0
Crawley Town,Shrewsbury,14/09/2013,1,1,0,0,16,15,8,5,7,8,10,2,1,0,0,0
Crewe,Walsall,14/09/2013,0,3,0,0,11,11,3,7,12,10,8,4,0,0,0,0
Leyton Orient,Port Vale,14/09/2013,3,2,2,1,15,9,9,2,14,10,5,3,3,4,0,0
Milton Keynes Dons,Notts County,14/09/2013,3,1,2,0,18,6,10,3,9,13,11,1,1,3,0,0
Preston,Stevenage,14/09/2013,3,0,1,0,22,13,9,2,9,12,3,8,0,3,0,0
Rotherham,Oldham,14/09/2013,3,2,1,1,17,7,9,6,9,11,10,2,0,2,0,1
Tranmere,Brentford,14/09/2013,3,4,1,2,11,16,7,7,9,11,10,5,2,0,0,0
Wolves,Swindon,14/09/2013,3,2,2,0,11,23,6,9,10,12,4,9,2,3,0,0
Coventry,Gillingham,15/09/2013,2,1,1,1,25,6,8,3,9,8,7,5,1,2,0,0
Bristol City,Shrewsbury,17/09/2013,1,1,0,1,11,10,5,2,11,7,14,3,1,1,0,0
Leyton Orient,Notts County,17/09/2013,5,1,2,0,12,13,10,6,12,10,5,6,1,3,0,0
Wolves,Walsall,17/09/2013,0,1,0,0,16,13,3,4,13,7,8,5,2,1,0,0
Colchester,Crawley Town,21/09/2013,1,1,1,1,11,9,5,4,9,5,5,6,2,0,0,0
Gillingham,Bradford,21/09/2013,0,1,0,1,12,12,3,2,13,14,8,6,1,2,0,0
Notts County,Tranmere,21/09/2013,2,0,1,0,17,8,6,2,16,7,6,4,2,2,0,0
Oldham,Crewe,21/09/2013,1,1,0,1,10,9,5,7,14,9,3,5,1,1,0,0
Peterboro,Milton Keynes Dons,21/09/2013,2,1,2,0,3,20,1,11,8,11,3,13,4,0,2,0
Port Vale,Coventry,21/09/2013,3,2,1,2,17,14,8,2,10,11,6,8,1,1,0,0
Sheffield United,Preston,21/09/2013,0,1,0,0,12,6,3,3,12,12,10,4,1,1,0,0
Shrewsbury,Wolves,21/09/2013,0,1,0,0,11,9,4,3,5,13,3,8,0,2,1,0
Stevenage,Carlisle,21/09/2013,1,3,0,1,7,9,1,4,20,13,4,6,3,5,0,0
Swindon,Bristol City,21/09/2013,3,2,2,2,11,8,6,3,10,11,7,4,2,2,0,0
Walsall,Rotherham,21/09/2013,1,1,1,1,11,9,2,4,4,11,5,3,2,3,0,0
Brentford,Leyton Orient,23/09/2013,0,2,0,0,17,7,5,2,12,14,8,2,3,3,0,0
Bradford,Shrewsbury,28/09/2013,2,1,0,1,15,13,8,5,8,12,7,2,1,2,0,1
Bristol City,Colchester,28/09/2013,1,1,0,1,23,8,7,3,5,10,15,3,1,3,0,0
Carlisle,Notts County,28/09/2013,2,1,1,1,13,19,6,10,14,9,1,6,1,0,0,0
Crawley Town,Oldham,28/09/2013,1,0,1,0,12,7,2,2,14,13,4,6,1,3,0,0
Crewe,Gillingham,28/09/2013,0,3,0,1,6,16,3,5,3,5,6,4,0,0,0,0
Leyton Orient,Walsall,28/09/2013,1,1,1,0,15,4,9,2,9,7,12,5,1,1,1,1
Milton Keynes Dons,Stevenage,28/09/2013,4,1,3,1,14,7,5,1,9,12,6,0,0,1,0,0
Preston,Swindon,28/09/2013,2,1,1,0,12,7,4,3,7,10,1,5,1,1,0,0
Rotherham,Peterboro,28/09/2013,0,1,0,0,20,5,5,1,13,12,8,6,4,0,0,0
Tranmere,Port Vale,28/09/2013,0,1,0,0,12,21,3,10,10,12,5,7,2,4,1,0
Wolves,Sheffield United,28/09/2013,2,0,0,0,11,12,6,3,10,7,7,5,2,1,0,0
Coventry,Brentford,29/09/2013,0,2,0,1,5,13,2,8,11,7,4,9,1,0,0,0
Sheffield United,Crawley Town,04/10/2013,1,1,0,1,13,13,6,3,9,12,8,10,1,3,0,0
Brentford,Rotherham,05/10/2013,0,1,0,1,15,10,5,2,11,17,7,4,1,6,0,0
Colchester,Wolves,05/10/2013,0,3,0,1,13,17,8,6,7,13,8,7,2,2,0,0
Gillingham,Milton Keynes Dons,05/10/2013,3,2,2,2,13,11,5,7,20,12,6,4,2,2,0,1
Notts County,Crewe,05/10/2013,4,0,2,0,8,15,4,7,19,10,1,4,1,1,0,0
Oldham,Leyton Orient,05/10/2013,1,1,1,0,14,6,9,3,15,23,4,3,0,2,0,0
Peterboro,Preston,05/10/2013,2,0,2,0,13,12,9,4,8,14,8,8,1,2,0,0
Port Vale,Bristol City,05/10/2013,1,1,0,0,10,15,3,5,10,7,3,8,3,1,0,0
Shrewsbury,Carlisle,05/10/2013,2,2,1,0,9,13,3,5,5,4,10,9,1,0,0,0
Stevenage,Coventry,05/10/2013,0,1,0,1,10,13,3,3,15,14,4,4,2,1,0,0
Swindon,Tranmere,05/10/2013,1,0,1,0,11,4,5,1,16,9,5,3,1,1,0,0
Walsall,Bradford,05/10/2013,0,2,0,1,15,8,4,3,6,2,6,3,0,0,0,0
Colchester,Walsall,12/10/2013,1,1,1,0,9,18,4,7,10,12,1,15,2,1,0,0
Leyton Orient,Milton Keynes Dons,12/10/2013,2,1,1,1,15,11,5,2,19,14,8,5,1,0,0,0
Port Vale,Peterboro,12/10/2013,0,1,0,0,6,16,4,7,12,14,5,7,2,4,0,0
Preston,Crewe,12/10/2013,0,2,0,1,15,7,2,2,21,17,7,3,2,3,0,0
Rotherham,Swindon,12/10/2013,0,4,0,2,6,10,0,6,13,8,7,3,4,3,0,0
Shrewsbury,Gillingham,12/10/2013,2,0,1,0,17,11,5,5,11,13,8,5,0,1,0,0
Stevenage,Brentford,12/10/2013,2,1,2,1,6,10,5,5,18,7,5,6,2,2,0,0
Bradford,Tranmere,13/10/2013,0,1,0,0,13,9,4,3,14,6,8,3,3,3,0,0
Coventry,Sheffield United,13/10/2013,3,2,2,0,14,13,6,6,15,13,5,5,3,2,0,0
Swindon,Notts County,18/10/2013,2,0,2,0,16,5,7,2,10,11,8,5,2,3,0,0
Brentford,Colchester,19/10/2013,3,1,0,0,11,4,6,3,11,16,13,4,1,0,0,0
Crawley Town,Bradford,19/10/2013,1,0,0,0,14,7,10,2,9,12,5,8,1,0,0,0
Crewe,Bristol City,19/10/2013,1,0,0,0,16,6,6,1,8,12,3,7,2,2,0,0
Gillingham,Preston,19/10/2013,1,2,0,0,7,10,4,2,14,14,2,3,1,2,0,0
Milton Keynes Dons,Rotherham,19/10/2013,3,2,1,0,20,11,8,3,6,16,8,1,3,3,0,1
Oldham,Carlisle,19/10/2013,1,0,1,0,14,9,6,2,13,9,9,7,3,2,0,0
Peterboro,Shrewsbury,19/10/2013,1,0,0,0,12,11,1,4,7,4,6,3,0,0,0,0
Sheffield United,Port Vale,19/10/2013,2,1,1,1,17,6,9,3,13,17,7,4,2,2,0,1
Tranmere,Leyton Orient,19/10/2013,0,4,0,1,5,12,2,4,7,8,5,4,2,1,1,0
Walsall,Stevenage,19/10/2013,2,1,1,0,18,6,6,2,7,14,5,7,1,2,0,1
Wolves,Coventry,19/10/2013,1,1,0,0,9,8,2,2,10,11,8,5,1,2,0,0
Bristol City,Brentford,22/10/2013,1,2,0,0,7,7,1,2,9,10,9,3,0,0,0,0
Coventry,Leyton Orient,22/10/2013,3,1,1,0,9,4,7,3,15,12,3,5,2,2,0,0
Crawley Town,Port Vale,22/10/2013,0,3,0,2,17,13,3,8,4,11,8,5,0,3,0,0
Crewe,Stevenage,22/10/2013,0,3,0,3,4,10,2,5,9,17,8,5,0,2,0,0
Gillingham,Notts County,22/10/2013,2,1,2,0,13,16,9,5,11,9,3,8,1,1,0,0
Milton Keynes Dons,Carlisle,22/10/2013,0,1,0,1,14,8,3,2,10,8,9,2,1,1,0,0
Peterboro,Sheffield United,22/10/2013,0,0,0,0,9,7,3,1,11,12,4,4,1,2,0,0
Preston,Bradford,22/10/2013,2,2,1,1,13,16,4,5,19,12,8,4,2,0,0,0
Rotherham,Tranmere,22/10/2013,1,1,0,0,18,4,7,1,13,7,7,4,2,1,0,0
Shrewsbury,Colchester,22/10/2013,1,1,1,1,12,10,5,4,9,11,6,3,0,2,0,0
Swindon,Walsall,22/10/2013,1,3,0,1,8,13,3,7,11,10,5,9,2,2,0,0
Wolves,Oldham,22/10/2013,2,0,0,0,16,10,6,2,11,8,7,4,0,1,0,0
Bradford,Wolves,26/10/2013,1,2,1,2,12,14,5,5,9,13,5,7,2,2,0,0
Brentford,Shrewsbury,26/10/2013,1,0,1,0,25,9,7,4,13,10,3,6,1,2,0,0
Carlisle,Bristol City,26/10/2013,2,4,1,0,9,9,4,4,13,15,6,2,3,0,0,0
Colchester,Peterboro,26/10/2013,1,0,0,0,12,12,7,5,14,9,8,7,3,4,0,1
Leyton Orient,Rotherham,26/10/2013,1,0,1,0,14,10,10,1,6,18,6,4,1,2,0,0
Notts County,Preston,26/10/2013,0,1,0,0,10,16,4,7,18,14,5,7,3,2,0,0
Oldham,Swindon,26/10/2013,2,1,1,0,13,5,5,2,15,13,3,3,1,2,0,0
Port Vale,Gillingham,26/10/2013,2,1,0,1,13,11,8,2,7,11,6,9,0,0,0,0
