HomeTeam,AwayTeam,Date,FTHG,FTAG,HTHG,HTAG,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
Coventry,Oldham,29/12/2013,1,1,0,1,14,10,6,8,11,14,6,10,2,3,0,0
Crawley Town,Notts County,29/12/2013,1,0,0,0,18,6,6,3,11,12,8,1,2,1,0,1
Gillingham,Walsall,29/12/2013,2,2,0,0,9,15,5,4,10,5,2,5,0,0,0,0
Port Vale,Rotherham,29/12/2013,2,0,1,0,13,9,6,4,14,9,8,3,3,3,0,1
Sheffield United,Tranmere,29/12/2013,3,1,1,0,19,9,11,2,9,16,9,3,2,3,0,0
Shrewsbury,Preston,29/12/2013,0,1,0,0,8,8,2,1,11,10,3,6,0,2,0,0
Wolves,Leyton Orient,29/12/2013,1,1,1,0,18,6,5,2,17,16,9,3,1,3,0,0
Crewe,Carlisle,01/01/2014,2,1,0,0,10,10,5,3,10,7,5,5,1,1,0,0
Milton Keynes Dons,Colchester,01/01/2014,0,0,0,0,29,3,14,2,15,13,15,2,4,2,0,0
Notts County,Bradford,01/01/2014,3,0,1,0,13,10,5,6,12,14,4,6,3,2,0,0
Oldham,Shrewsbury,01/01/2014,1,2,1,1,13,7,4,2,8,11,14,1,0,2,0,0
Peterboro,Brentford,01/01/2014,1,3,1,2,7,11,2,7,7,14,1,7,0,3,0,0
Preston,Port Vale,01/01/2014,3,2,1,0,13,10,5,3,9,11,9,3,2,2,0,0
Rotherham,Coventry,01/01/2014,1,3,1,0,10,8,8,4,11,10,8,8,0,1,1,0
Tranmere,Wolves,01/01/2014,1,1,1,0,5,12,1,6,9,7,9,10,2,1,1,1
Walsall,Sheffield United,01/01/2014,2,1,0,1,8,9,3,3,15,8,5,4,0,0,0,0
Gillingham,Wolves,03/01/2014,1,0,0,0,8,18,4,5,10,9,2,10,0,0,0,0
Shrewsbury,Leyton Orient,07/01/2014,0,2,0,1,11,13,1,5,6,17,1,7,1,2,0,0
Bradford,Bristol City,11/01/2014,1,1,1,1,13,10,7,5,10,8,12,4,1,1,0,0
Brentford,Port Vale,11/01/2014,2,0,1,0,25,5,13,0,12,15,12,2,0,1,0,0
Colchester,Gillingham,11/01/2014,3,0,0,0,24,8,14,2,3,12,7,1,1,1,0,0
Leyton Orient,Carlisle,11/01/2014,4,0,1,0,17,6,7,2,18,13,9,2,2,3,0,0
Milton Keynes Dons,Shrewsbury,11/01/2014,3,2,2,1,17,11,7,4,12,13,11,3,2,1,0,0
Notts County,Sheffield United,11/01/2014,2,1,1,1,8,14,3,1,21,21,3,3,1,3,0,0
Oldham,Stevenage,11/01/2014,1,0,1,0,12,8,2,3,7,15,4,4,0,0,0,1
Rotherham,Crewe,11/01/2014,4,2,1,1,18,9,8,4,21,10,5,5,3,3,0,0
Swindon,Peterboro,11/01/2014,2,1,1,0,8,11,5,3,7,7,4,8,1,0,0,1
Tranmere,Walsall,11/01/2014,1,1,0,1,7,9,3,3,11,11,2,3,0,3,0,0
Wolves,Preston,11/01/2014,2,0,1,0,20,5,8,1,16,9,1,7,1,2,0,0
Coventry,Crawley Town,12/01/2014,2,2,1,0,11,8,3,4,12,9,4,2,1,0,0,0
Stevenage,Swindon,14/01/2014,2,0,1,0,13,11,2,4,13,5,10,7,1,2,0,0
Walsall,Oldham,14/01/2014,1,0,0,0,10,11,4,3,13,5,11,6,1,3,0,0
Bristol City,Milton Keynes Dons,18/01/2014,2,2,0,2,16,13,6,7,12,9,9,7,1,3,0,0
Carlisle,Colchester,18/01/2014,2,4,1,2,16,6,9,4,6,12,8,8,3,2,0,0
Crewe,Leyton Orient,18/01/2014,1,2,0,0,7,8,4,5,14,14,4,3,2,3,0,0
Gillingham,Swindon,18/01/2014,2,0,1,0,14,13,2,4,10,7,8,4,0,2,0,0
Peterboro,Tranmere,18/01/2014,3,0,1,0,10,5,5,1,5,12,7,3,1,3,0,0
Port Vale,Oldham,18/01/2014,1,0,0,0,8,10,4,2,10,13,5,9,3,0,0,0
Preston,Coventry,18/01/2014,1,1,0,0,19,6,6,1,20,11,6,5,3,1,1,0
Sheffield United,Bradford,18/01/2014,2,2,2,0,25,12,10,4,7,15,11,4,0,3,0,0
Shrewsbury,Rotherham,18/01/2014,0,3,0,3,6,11,2,6,15,13,7,6,3,3,0,0
Stevenage,Notts County,18/01/2014,0,1,0,1,17,8,10,2,8,6,6,7,2,2,0,0
Walsall,Brentford,18/01/2014,1,1,1,1,10,11,4,1,6,16,6,2,0,2,0,0
Crewe,Milton Keynes Dons,21/01/2014,2,0,1,0,7,12,6,3,7,16,7,7,1,2,0,0
Peterboro,Notts County,21/01/2014,4,3,1,2,20,13,8,7,14,10,9,2,3,2,0,1
Brentford,Gillingham,24/01/2014,2,1,1,0,19,11,9,8,10,12,11,4,1,2,0,0
Notts County,Walsall,25/01/2014,1,5,0,3,10,22,7,13,13,7,7,6,2,0,0,0
Oldham,Peterboro,25/01/2014,5,4,0,3,18,14,7,7,5,10,9,4,2,0,0,1
Rotherham,Crawley Town,25/01/2014,2,2,1,1,15,14,6,7,13,11,9,1,1,1,0,0
Swindon,Shrewsbury,25/01/2014,3,1,1,1,13,15,6,8,6,4,4,12,1,0,0,0
Tranmere,Crewe,25/01/2014,1,0,1,0,8,6,2,2,16,11,4,4,2,2,0,0
Wolves,Bristol City,25/01/2014,3,1,2,1,13,8,6,4,5,9,6,4,1,2,0,0
Bradford,Preston,28/01/2014,0,0,0,0,9,12,3,5,7,5,9,2,1,2,1,1
Brentford,Bristol City,28/01/2014,3,1,3,1,19,6,6,1,10,15,7,6,1,3,0,0
Carlisle,Milton Keynes Dons,28/01/2014,3,0,2,0,10,10,4,3,9,8,4,5,0,0,0,0
Leyton Orient,Coventry,28/01/2014,2,0,0,0,12,7,6,5,10,12,12,5,0,1,0,0
Oldham,Wolves,28/01/2014,0,3,0,0,12,22,3,10,8,13,6,3,3,1,0,0
Tranmere,Rotherham,28/01/2014,1,2,0,1,8,20,5,9,3,9,5,5,0,0,0,0
Walsall,Swindon,28/01/2014,1,1,1,0,12,8,4,4,9,15,7,2,0,1,0,0
Bristol City,Carlisle,01/02/2014,2,1,0,1,10,3,5,2,12,12,5,7,2,1,0,0
Crewe,Sheffield United,01/02/2014,3,0,2,0,15,6,9,1,11,10,4,12,1,0,0,0
Gillingham,Port Vale,01/02/2014,3,2,1,0,13,8,7,4,9,9,3,5,2,0,0,0
Milton Keynes Dons,Tranmere,01/02/2014,0,1,0,0,18,8,8,5,8,8,8,4,0,2,0,0
Preston,Notts County,01/02/2014,2,0,0,0,26,10,14,1,12,13,7,3,0,4,0,0
Rotherham,Leyton Orient,01/02/2014,2,1,1,0,11,8,4,2,18,13,7,8,2,1,0,0
Shrewsbury,Brentford,01/02/2014,1,1,0,0,14,14,4,3,13,8,10,5,3,1,0,0
Swindon,Oldham,01/02/2014,0,1,0,0,5,6,1,3,13,14,2,6,2,1,1,0
Wolves,Bradford,01/02/2014,2,0,1,0,13,4,9,0,8,4,15,1,2,0,0,1
Bristol City,Coventry,04/02/2014,1,2,0,2,14,6,6,5,7,13,7,3,1,2,0,0
Stevenage,Gillingham,04/02/2014,3,1,2,0,9,10,4,4,7,17,9,5,2,2,0,1
Bradford,Crewe,08/02/2014,3,3,0,1,16,11,5,5,13,10,7,12,1,0,0,0
Carlisle,Gillingham,08/02/2014,1,2,0,1,21,9,4,6,7,14,9,2,2,0,0,0
Leyton Orient,Peterboro,08/02/2014,1,2,0,0,7,15,2,7,10,13,2,4,0,0,0,0
Notts County,Coventry,08/02/2014,3,0,2,0,10,4,4,1,10,10,7,3,1,1,0,0
Oldham,Bristol City,08/02/2014,1,1,1,1,9,11,2,4,8,12,5,4,2,1,0,0
Port Vale,Swindon,08/02/2014,2,3,2,0,5,16,2,7,10,9,5,14,2,2,0,0
Sheffield United,Shrewsbury,08/02/2014,2,0,2,0,12,7,4,1,6,8,2,3,0,1,0,0
Tranmere,Preston,08/02/2014,1,2,1,1,10,17,5,9,12,15,7,12,2,1,0,0
Walsall,Milton Keynes Dons,08/02/2014,0,3,0,2,9,16,3,5,8,9,6,4,0,0,1,0
Carlisle,Bradford,11/02/2014,1,0,1,0,11,12,3,4,15,16,5,8,2,0,0,0
Leyton Orient,Bristol City,11/02/2014,1,3,1,2,16,11,2,4,13,18,11,7,3,3,0,0
Port Vale,Colchester,11/02/2014,2,0,1,0,10,11,4,4,6,6,4,8,1,1,0,0
Peterboro,Walsall,14/02/2014,0,0,0,0,5,9,3,3,11,9,0,6,2,2,0,0
Swindon,Colchester,14/02/2014,0,0,0,0,14,1,5,0,7,12,9,3,1,1,0,1
Bristol City,Tranmere,15/02/2014,2,2,1,1,7,9,5,3,7,4,0,8,0,4,0,0
Crewe,Brentford,15/02/2014,1,3,0,1,8,16,5,8,6,17,4,6,1,2,0,0
Milton Keynes Dons,Oldham,15/02/2014,2,1,0,1,20,10,4,2,8,8,11,5,0,0,0,1
Preston,Leyton Orient,15/02/2014,1,1,0,1,16,5,6,3,17,11,4,1,2,0,0,0
Rotherham,Stevenage,15/02/2014,2,1,1,0,9,10,5,4,12,17,2,9,2,1,0,0
Shrewsbury,Port Vale,15/02/2014,0,0,0,0,10,3,2,0,7,5,9,6,0,0,0,0
Wolves,Notts County,15/02/2014,2,0,1,0,18,5,11,1,9,6,10,4,0,1,0,0
Bradford,Port Vale,18/02/2014,1,0,0,0,15,7,3,5,11,14,8,0,1,3,0,0
Coventry,Carlisle,18/02/2014,1,2,1,0,11,8,6,6,15,13,4,0,1,1,0,0
Leyton Orient,Stevenage,18/02/2014,2,0,2,0,12,11,5,4,10,13,7,8,1,0,0,0
Milton Keynes Dons,Preston,18/02/2014,0,0,0,0,9,10,5,2,12,11,3,5,2,2,0,0
Gillingham,Sheffield United,19/02/2014,0,1,0,1,9,7,2,2,19,5,6,3,2,1,0,0
Bradford,Milton Keynes Dons,22/02/2014,1,0,0,0,8,8,4,2,11,11,3,7,0,2,0,0
Brentford,Wolves,22/02/2014,0,3,0,1,10,11,2,8,12,13,10,3,2,1,0,0
Carlisle,Rotherham,22/02/2014,1,2,1,1,8,19,1,5,12,13,0,8,1,2,0,0
Colchester,Preston,22/02/2014,1,2,0,1,9,15,2,5,10,9,7,13,1,2,0,0
Leyton Orient,Swindon,22/02/2014,2,0,1,0,14,5,6,2,10,12,8,2,2,3,0,0
Notts County,Shrewsbury,22/02/2014,2,3,2,1,14,13,6,5,9,16,4,2,1,2,1,0
Oldham,Gillingham,22/02/2014,1,0,1,0,7,15,3,8,9,6,7,8,1,1,0,0
Port Vale,Crewe,22/02/2014,1,3,0,1,8,13,3,7,13,9,5,4,2,3,0,0
Sheffield United,Bristol City,22/02/2014,3,0,1,0,14,7,7,3,8,10,8,1,0,0,0,0
Stevenage,Peterboro,22/02/2014,0,1,0,0,10,15,4,7,13,8,3,5,1,1,0,0
Tranmere,Coventry,22/02/2014,3,1,1,0,8,8,5,3,15,10,5,5,3,1,0,0
Walsall,Crawley Town,22/02/2014,1,2,0,1,7,6,1,3,11,15,9,2,1,2,0,1
Colchester,Sheffield United,25/02/2014,0,1,0,0,4,16,0,6,9,3,3,6,2,1,0,0
Oldham,Milton Keynes Dons,25/02/2014,1,2,0,2,12,11,5,5,11,11,10,4,0,0,0,0
Preston,Rotherham,25/02/2014,3,3,1,2,10,4,5,3,6,7,5,1,1,1,0,0
Stevenage,Crewe,25/02/2014,1,0,1,0,8,12,3,1,13,10,5,7,0,1,0,0
Swindon,Crawley Town,25/02/2014,1,1,0,0,8,9,5,4,9,8,4,7,0,2,0,0
Bradford,Stevenage,01/03/2014,2,3,2,1,15,13,6,9,7,14,5,5,2,2,0,0
Bristol City,Gillingham,01/03/2014,2,1,1,0,8,8,4,4,7,12,7,4,1,1,0,0
Carlisle,Brentford,01/03/2014,0,0,0,0,15,9,8,2,13,11,1,4,4,2,0,0
Crawley Town,Peterboro,01/03/2014,1,0,0,0,8,12,5,2,9,11,6,5,2,2,0,0
Crewe,Swindon,01/03/2014,1,1,0,0,5,12,1,3,19,9,4,2,1,0,0,0
Leyton Orient,Colchester,01/03/2014,2,1,1,0,10,15,6,6,6,8,6,8,0,1,0,0
Milton Keynes Dons,Sheffield United,01/03/2014,0,1,0,1,10,9,4,4,12,6,9,4,2,1,0,0
Preston,Walsall,01/03/2014,2,1,2,1,9,4,5,2,17,7,6,1,1,1,0,1
Rotherham,Notts County,01/03/2014,6,0,4,0,15,4,9,1,9,11,5,5,0,2,0,0
Tranmere,Oldham,01/03/2014,2,2,1,1,12,8,5,3,10,16,9,2,2,1,0,0
Wolves,Port Vale,01/03/2014,3,0,0,0,17,5,5,3,7,7,8,3,0,1,0,0
Coventry,Shrewsbury,02/03/2014,0,0,0,0,15,8,0,3,11,11,10,4,0,0,0,0
Colchester,Rotherham,04/03/2014,0,0,0,0,4,14,0,5,9,11,6,7,1,0,0,0
Crawley Town,Stevenage,04/03/2014,1,1,0,1,15,9,5,4,8,18,4,4,0,2,0,0
Sheffield United,Peterboro,04/03/2014,2,0,0,0,14,8,5,1,10,7,8,14,1,0,0,0
Coventry,Walsall,05/03/2014,2,1,1,0,13,14,8,9,14,11,5,3,2,3,0,0
Brentford,Bradford,08/03/2014,2,0,0,0,18,6,5,2,7,11,5,5,0,1,0,0
Colchester,Coventry,08/03/2014,2,1,2,1,11,11,4,6,16,11,5,5,1,1,0,0
Gillingham,Crawley Town,08/03/2014,1,0,0,0,14,15,6,3,11,7,11,9,0,0,0,0
Notts County,Leyton Orient,08/03/2014,0,0,0,0,11,11,2,4,10,14,2,4,1,2,0,0
Oldham,Preston,08/03/2014,1,3,0,1,11,19,8,11,8,14,5,5,2,0,1,0
Peterboro,Crewe,08/03/2014,4,2,2,1,14,9,6,3,18,13,2,0,1,0,0,0
Port Vale,Carlisle,08/03/2014,2,1,0,1,9,10,4,5,7,9,12,6,0,0,0,0
Shrewsbury,Bristol City,08/03/2014,2,3,1,1,14,7,4,3,6,14,4,4,1,0,0,0
Stevenage,Tranmere,08/03/2014,3,1,1,0,11,2,6,0,12,9,7,5,2,2,0,0
Swindon,Milton Keynes Dons,08/03/2014,1,2,1,0,6,12,5,6,16,10,4,5,0,1,0,0
Walsall,Wolves,08/03/2014,0,3,0,1,13,10,7,7,7,17,4,4,1,3,0,0
Brentford,Tranmere,11/03/2014,2,0,0,0,25,6,11,1,9,12,7,4,2,2,0,0
Colchester,Bradford,11/03/2014,0,2,0,1,8,9,2,5,10,10,4,2,4,2,0,0
Gillingham,Coventry,11/03/2014,4,2,1,0,11,12,5,6,16,11,6,6,3,4,0,1
Notts County,Milton Keynes Dons,11/03/2014,1,3,0,1,10,12,4,7,12,17,3,4,2,5,0,0
Oldham,Rotherham,11/03/2014,0,2,0,1,9,14,5,7,9,16,4,9,1,2,0,0
Peterboro,Bristol City,11/03/2014,1,2,1,2,22,5,10,5,9,6,11,1,1,0,0,1
Port Vale,Leyton Orient,11/03/2014,0,2,0,1,13,9,6,3,12,11,11,5,2,1,0,0
Shrewsbury,Crawley Town,11/03/2014,1,1,0,1,10,7,2,2,11,13,4,3,1,2,0,0
Stevenage,Preston,11/03/2014,1,1,0,1,4,5,4,1,14,14,3,3,2,1,0,0
Swindon,Wolves,11/03/2014,1,4,0,3,10,8,4,4,12,8,5,3,2,2,0,0
Walsall,Crewe,11/03/2014,1,1,0,0,13,10,1,2,10,12,8,1,0,3,0,0
Sheffield United,Carlisle,12/03/2014,1,0,1,0,8,7,5,2,9,8,5,4,1,0,0,0
Bradford,Gillingham,15/03/2014,1,1,1,0,16,4,3,3,8,17,5,2,0,0,0,0
Bristol City,Swindon,15/03/2014,0,0,0,0,16,9,5,3,11,7,10,1,3,3,0,1
Carlisle,Stevenage,15/03/2014,0,0,0,0,17,9,8,3,11,10,4,14,1,1,0,0
Crawley Town,Colchester,15/03/2014,1,0,1,0,11,5,5,0,9,16,9,2,1,2,0,0
Crewe,Oldham,15/03/2014,1,1,0,0,4,10,2,4,7,13,8,7,1,2,0,0
Leyton Orient,Brentford,15/03/2014,0,1,0,1,12,11,4,3,10,21,5,5,2,3,0,1
Milton Keynes Dons,Peterboro,15/03/2014,0,2,0,0,16,15,4,11,13,14,6,7,6,3,0,0
Rotherham,Walsall,15/03/2014,1,1,0,1,13,5,3,3,15,12,8,1,2,0,0,1
Tranmere,Notts County,15/03/2014,3,2,2,1,16,11,7,6,9,15,9,6,1,3,0,0
Wolves,Shrewsbury,15/03/2014,0,0,0,0,14,8,2,3,5,8,12,4,0,0,0,0
Coventry,Port Vale,16/03/2014,2,2,0,1,12,5,7,4,9,9,6,5,2,4,0,0
Preston,Sheffield United,17/03/2014,0,0,0,0,20,8,5,1,15,4,7,4,2,0,0,0
Colchester,Shrewsbury,18/03/2014,1,0,0,0,12,6,2,5,12,9,8,1,0,1,0,0
Crawley Town,Wolves,18/03/2014,2,1,2,1,6,11,2,5,8,16,4,3,0,1,0,0
Brentford,Coventry,22/03/2014,3,1,2,1,13,9,5,4,13,12,7,8,1,2,0,0
Colchester,Bristol City,22/03/2014,2,2,0,1,15,10,8,5,10,13,3,3,0,3,0,0
Gillingham,Crewe,22/03/2014,1,3,1,1,16,14,6,7,10,11,11,11,2,3,0,1
Notts County,Carlisle,22/03/2014,4,1,2,0,15,9,8,4,9,21,4,4,1,2,0,0
Oldham,Crawley Town,22/03/2014,1,0,1,0,14,8,5,4,15,14,5,5,3,1,0,0
Peterboro,Rotherham,22/03/2014,0,1,0,1,6,12,3,4,10,9,5,6,1,1,0,0
Port Vale,Tranmere,22/03/2014,3,2,1,0,14,12,4,5,5,12,3,5,1,3,0,0
Sheffield United,Wolves,22/03/2014,0,2,0,1,10,11,4,3,3,18,6,3,0,6,0,0
Shrewsbury,Bradford,22/03/2014,2,1,0,0,15,6,6,4,13,11,9,6,1,1,0,0
Stevenage,Milton Keynes Dons,22/03/2014,2,3,2,0,7,13,3,5,9,11,8,10,1,1,0,0
Swindon,Preston,22/03/2014,1,0,0,0,10,8,7,3,16,19,8,8,2,4,0,0
Walsall,Leyton Orient,22/03/2014,1,1,1,0,10,8,3,6,8,13,5,6,0,3,0,0
Bradford,Walsall,25/03/2014,0,2,0,0,3,9,0,5,13,6,3,2,1,0,0,0
Bristol City,Port Vale,25/03/2014,5,0,4,0,14,8,7,3,11,13,8,5,1,1,0,1
Carlisle,Shrewsbury,25/03/2014,0,0,0,0,13,6,3,3,13,16,10,4,0,1,0,0
Crawley Town,Sheffield United,25/03/2014,0,2,0,1,11,5,4,3,11,11,4,2,1,2,0,0
Crewe,Notts County,25/03/2014,1,3,0,1,11,9,3,7,13,12,5,2,1,6,0,0
Leyton Orient,Oldham,25/03/2014,1,1,1,0,14,11,4,8,15,10,9,3,2,1,0,0
Milton Keynes Dons,Gillingham,25/03/2014,0,1,0,0,14,4,3,3,5,9,12,2,0,0,0,0
Preston,Peterboro,25/03/2014,3,1,1,1,22,4,5,3,8,15,7,6,1,3,0,0
Rotherham,Brentford,25/03/2014,3,0,2,0,11,7,4,4,13,12,4,7,2,1,0,0
Tranmere,Swindon,25/03/2014,1,2,1,1,9,6,3,3,2,13,4,6,1,1,0,0
Wolves,Colchester,25/03/2014,4,2,3,0,21,9,7,4,5,9,7,1,1,2,0,0
Coventry,Stevenage,26/03/2014,1,0,0,0,9,11,3,2,12,6,5,6,1,1,0,0
Crewe,Coventry,29/03/2014,1,2,0,1,18,8,7,3,9,19,16,3,0,7,0,0
Leyton Orient,Bradford,29/03/2014,0,1,0,1,10,9,2,4,8,13,8,5,0,4,0,0
Milton Keynes Dons,Wolves,29/03/2014,0,1,0,0,4,8,2,4,14,10,4,4,1,0,1,0
Notts County,Colchester,29/03/2014,2,0,2,0,14,24,6,5,9,11,10,9,0,1,0,0
Oldham,Brentford,29/03/2014,0,0,0,0,11,12,5,3,11,17,3,9,1,3,0,0
Preston,Crawley Town,29/03/2014,1,0,1,0,13,8,5,1,17,5,4,5,1,1,0,0
Rotherham,Bristol City,29/03/2014,2,1,1,0,10,9,4,4,5,9,3,6,0,2,0,0
Stevenage,Port Vale,29/03/2014,1,1,0,0,8,8,4,2,13,10,7,7,3,0,0,0
Swindon,Sheffield United,29/03/2014,2,1,1,0,3,12,2,6,18,11,4,8,5,1,0,0
Tranmere,Carlisle,29/03/2014,0,0,0,0,15,14,4,4,13,6,15,6,2,0,0,0
Walsall,Shrewsbury,29/03/2014,1,0,1,0,12,4,3,1,5,14,8,4,0,2,1,1
Coventry,Bradford,01/04/2014,0,0,0,0,2,11,1,3,11,9,2,4,0,0,0,0
Port Vale,Crawley Town,01/04/2014,2,1,0,1,7,10,4,4,9,6,1,4,0,1,1,1
Sheffield United,Brentford,01/04/2014,0,0,0,0,9,17,1,5,10,9,10,7,1,4,0,0
Stevenage,Wolves,01/04/2014,0,0,0,0,8,10,1,4,11,6,5,3,0,1,0,0
Peterboro,Colchester,02/04/2014,2,0,1,0,16,5,5,0,8,9,9,3,1,3,0,0
Bradford,Oldham,05/04/2014,2,3,1,2,8,7,2,5,11,13,1,4,2,3,0,0
Brentford,Notts County,05/04/2014,3,1,2,0,16,4,9,2,10,14,5,2,2,1,0,1
Bristol City,Preston,05/04/2014,1,1,0,0,8,13,3,4,12,7,7,3,2,1,0,0
Carlisle,Swindon,05/04/2014,1,0,1,0,6,11,2,4,9,11,7,9,0,2,1,0
Colchester,Tranmere,05/04/2014,1,2,1,1,19,11,6,5,8,12,10,11,1,3,0,0
Coventry,Milton Keynes Dons,05/04/2014,1,2,0,1,9,10,5,5,12,17,3,4,2,1,0,0
Crawley Town,Crewe,05/04/2014,1,2,0,1,13,7,4,5,10,11,7,1,3,2,0,0
Gillingham,Rotherham,05/04/2014,3,4,1,1,10,15,7,5,10,10,5,9,1,0,0,0
Port Vale,Walsall,05/04/2014,1,0,0,0,9,9,4,7,18,11,6,3,3,0,0,0
Sheffield United,Leyton Orient,05/04/2014,1,1,0,1,15,6,7,1,11,22,3,4,2,3,0,0
Shrewsbury,Stevenage,05/04/2014,1,0,0,0,13,9,8,6,10,13,11,4,1,5,1,0
Wolves,Peterboro,05/04/2014,2,0,0,0,14,5,7,2,8,18,6,4,1,2,0,0
Brentford,Crawley Town,08/04/2014,1,0,0,0,19,3,6,2,6,10,6,2,0,0,0,0
Peterboro,Gillingham,08/04/2014,2,0,1,0,14,6,8,1,8,12,7,6,0,2,0,0
Sheffield United,Rotherham,08/04/2014,1,0,0,0,8,7,2,3,6,14,7,3,1,2,0,0
Rotherham,Bradford,11/04/2014,0,0,0,0,12,7,4,3,8,10,7,1,0,1,0,0
Crewe,Wolves,12/04/2014,0,2,0,1,3,15,2,8,13,12,2,7,1,1,1,0
Leyton Orient,Gillingham,12/04/2014,5,1,4,0,15,7,9,2,8,10,5,3,1,1,0,0
Milton Keynes Dons,Crawley Town,12/04/2014,0,2,0,2,13,5,3,3,18,14,3,6,1,1,0,0
Notts County,Port Vale,12/04/2014,4,2,2,2,16,14,6,10,10,9,9,8,0,1,0,0
Peterboro,Coventry,12/04/2014,1,0,1,0,6,7,3,1,14,10,6,2,1,0,0,0
Preston,Carlisle,12/04/2014,6,1,2,1,19,3,10,2,15,5,6,5,2,0,0,0
Stevenage,Colchester,12/04/2014,2,3,1,1,9,11,4,5,7,9,3,5,2,0,0,0
Swindon,Brentford,12/04/2014,1,0,1,0,5,10,3,1,12,14,8,12,3,3,0,1
Tranmere,Shrewsbury,12/04/2014,2,1,1,0,9,9,3,4,13,13,2,1,2,1,0,0
Walsall,Bristol City,12/04/2014,0,1,0,1,16,5,5,3,11,13,5,4,1,2,0,0
Crawley Town,Tranmere,15/04/2014,2,0,1,0,9,9,2,6,8,10,4,4,2,1,0,0
Bradford,Peterboro,18/04/2014,1,0,1,0,15,8,7,2,9,13,1,6,2,4,0,0
Brentford,Preston,18/04/2014,1,0,1,0,17,8,3,2,13,25,9,4,1,0,0,1
Bristol City,Notts County,18/04/2014,2,1,1,1,10,17,5,6,19,9,5,8,2,1,0,0
Carlisle,Walsall,18/04/2014,1,1,1,0,9,19,2,7,10,10,5,5,1,3,0,0
Colchester,Oldham,18/04/2014,0,1,0,1,24,4,7,1,15,9,13,1,3,3,0,0
Coventry,Swindon,18/04/2014,1,2,1,1,10,17,2,6,14,14,2,11,1,2,0,0
Crawley Town,Leyton Orient,18/04/2014,2,1,1,1,11,13,6,4,7,9,5,6,0,0,0,0
Gillingham,Tranmere,18/04/2014,2,0,0,0,17,10,9,2,15,5,11,6,3,0,0,0
Port Vale,Milton Keynes Dons,18/04/2014,1,0,0,0,9,9,4,2,8,7,7,4,0,1,0,0
Sheffield United,Stevenage,18/04/2014,1,0,1,0,5,12,2,4,9,20,6,2,1,2,0,0
Shrewsbury,Crewe,18/04/2014,1,3,0,1,9,7,3,5,13,10,6,10,3,0,0,0
Wolves,Rotherham,18/04/2014,6,4,3,1,13,19,7,10,9,8,2,10,2,4,0,0
Crewe,Colchester,21/04/2014,0,0,0,0,8,15,5,4,8,13,5,4,0,2,0,0
Leyton Orient,Wolves,21/04/2014,1,3,0,2,17,19,9,7,11,8,7,4,2,2,0,0
Milton Keynes Dons,Brentford,21/04/2014,2,2,0,1,8,11,4,7,9,12,4,2,1,2,0,0
Notts County,Crawley Town,21/04/2014,1,0,1,0,9,15,5,8,7,13,9,9,0,2,0,0
Oldham,Coventry,21/04/2014,0,0,0,0,11,6,2,3,11,17,6,6,0,0,0,0
Peterboro,Carlisle,21/04/2014,4,1,1,0,17,10,8,5,13,10,8,5,2,1,0,0
Preston,Shrewsbury,21/04/2014,5,2,2,1,19,6,6,2,9,8,7,4,0,1,0,0
Rotherham,Port Vale,21/04/2014,1,0,0,0,10,3,5,1,10,10,7,8,2,1,1,0
Stevenage,Bristol City,21/04/2014,1,3,0,1,14,13,5,10,6,7,4,7,0,0,0,0
Swindon,Bradford,21/04/2014,1,0,0,0,10,2,6,1,10,12,8,2,1,1,0,0
Tranmere,Sheffield United,21/04/2014,0,0,0,0,15,8,4,1,4,18,7,4,0,1,0,0
Walsall,Gillingham,21/04/2014,1,1,0,0,13,9,5,5,5,9,9,5,1,2,0,0
Port Vale,Sheffield United,25/04/2014,1,2,0,0,5,11,3,6,9,8,5,9,1,0,0,0
Bradford,Crawley Town,26/04/2014,2,1,0,0,11,13,6,7,14,11,3,4,0,0,0,0
Bristol City,Crewe,26/04/2014,0,0,0,0,8,9,1,1,6,3,5,5,0,0,0,0
Carlisle,Oldham,26/04/2014,0,1,0,0,18,6,6,1,15,11,7,3,1,3,0,0
Colchester,Brentford,26/04/2014,4,1,3,1,11,6,7,3,18,13,3,4,2,1,0,0
Coventry,Wolves,26/04/2014,1,1,0,0,7,7,1,5,9,10,1,3,1,0,0,0
Leyton Orient,Tranmere,26/04/2014,2,0,1,0,14,8,8,3,13,8,3,11,1,3,0,0
Notts County,Swindon,26/04/2014,2,0,1,0,11,14,3,1,13,10,9,2,4,3,0,2
Preston,Gillingham,26/04/2014,3,1,1,1,22,7,7,3,14,10,9,1,0,0,0,0
Rotherham,Milton Keynes Dons,26/04/2014,2,2,0,1,22,7,7,6,10,8,2,2,0,3,0,1
Shrewsbury,Peterboro,26/04/2014,2,4,2,3,9,14,5,9,12,5,6,5,1,1,0,0
Stevenage,Walsall,26/04/2014,3,2,1,0,10,16,5,5,15,9,1,6,2,1,0,0
Crawley Town,Carlisle,29/04/2014,0,0,0,0,13,6,4,1,10,12,8,9,2,4,0,0
Oldham,Sheffield United,29/04/2014,1,1,1,0,14,15,4,4,14,11,5,8,1,1,0,0
Brentford,Stevenage,03/05/2014,2,0,0,0,12,5,7,2,10,13,6,3,1,2,0,0
Crawley Town,Bristol City,03/05/2014,1,1,1,0,18,6,7,3,10,9,9,5,0,1,0,0
