HomeTeam,AwayTeam,Date,FTHG,FTAG,HTHG,HTAG
Leeds,Ipswich,28/01/14,1,1,0,0
Middlesbrough,Wigan,28/01/14,0,0,0,0
Millwall,Sheffield Weds,28/01/14,1,1,0,0
QPR,Bolton,28/01/14,2,1,1,0
Reading,Blackpool,28/01/14,5,1,2,0
Nott'm Forest,Watford,30/01/14,4,2,0,1
Birmingham,Derby,1/2/2014,3,3,0,0
Blackburn,Blackpool,1/2/2014,2,0,1,0
Bournemouth,Leicester,1/2/2014,0,1,0,0
Doncaster,Middlesbrough,1/2/2014,0,0,0,0
Ipswich,Bolton,1/2/2014,1,0,0,0
Leeds,Huddersfield,1/2/2014,5,1,1,1
Millwall,Reading,1/2/2014,0,3,0,1
QPR,Burnley,1/2/2014,3,3,2,1
Sheffield Weds,Barnsley,1/2/2014,1,0,0,0
Wigan,Charlton,1/2/2014,2,1,0,1
Nott'm Forest,Yeovil,2/2/2014,3,1,2,1
Watford,Brighton,2/2/2014,2,0,1,0
Barnsley,Ipswich,8/2/2014,2,2,1,0
Blackpool,Nott'm Forest,8/2/2014,1,1,0,1
Bolton,Bournemouth,8/2/2014,2,2,2,1
Brighton,Doncaster,8/2/2014,1,0,0,0
Burnley,Millwall,8/2/2014,3,1,2,1
Charlton,Birmingham,8/2/2014,0,2,0,1
Huddersfield,Wigan,8/2/2014,1,0,0,0
Leicester,Watford,8/2/2014,2,2,1,2
Middlesbrough,Blackburn,8/2/2014,0,0,0,0
Reading,Sheffield Weds,8/2/2014,0,2,0,1
Yeovil,Leeds,8/2/2014,1,2,1,0
Derby,QPR,10/2/2014,1,0,1,0
Bolton,Burnley,11/2/2014,0,1,0,0
Brighton,Leeds,11/2/2014,1,0,0,0
Huddersfield,Nott'm Forest,11/2/2014,0,3,0,0
Sheffield Weds,Wigan,11/2/2014,0,3,0,2
Watford,Birmingham,11/2/2014,1,0,1,0
Yeovil,Millwall,11/2/2014,1,1,0,0
Birmingham,Huddersfield,15/02/14,1,2,0,1
Bournemouth,Burnley,15/02/14,1,1,0,0
Doncaster,Barnsley,15/02/14,2,2,1,1
Ipswich,Blackpool,15/02/14,0,0,0,0
Millwall,Bolton,15/02/14,1,1,0,1
Watford,Middlesbrough,15/02/14,1,0,0,0
QPR,Reading,16/02/14,1,3,1,1
Sheffield Weds,Derby,18/02/14,0,1,0,0
Wigan,Barnsley,18/02/14,2,0,2,0
Yeovil,Watford,18/02/14,0,0,0,0
Nott'm Forest,Leicester,19/02/14,2,2,2,1
Barnsley,Millwall,22/02/14,1,0,1,0
Blackpool,Birmingham,22/02/14,1,2,1,0
Bolton,Watford,22/02/14,2,0,2,0
Brighton,Wigan,22/02/14,1,2,0,1
Burnley,Nott'm Forest,22/02/14,3,1,3,0
Charlton,QPR,22/02/14,1,0,0,0
Derby,Bournemouth,22/02/14,1,0,0,0
Huddersfield,Sheffield Weds,22/02/14,0,2,0,1
Leicester,Ipswich,22/02/14,3,0,2,0
Middlesbrough,Leeds,22/02/14,0,0,0,0
Reading,Blackburn,22/02/14,0,1,0,1
Yeovil,Doncaster,22/02/14,1,0,0,0
Bolton,Blackburn,1/3/2014,4,0,2,0
Bournemouth,Doncaster,1/3/2014,5,0,2,0
Burnley,Derby,1/3/2014,2,0,1,0
Huddersfield,Barnsley,1/3/2014,5,0,2,0
Ipswich,Birmingham,1/3/2014,1,0,1,0
Leicester,Charlton,1/3/2014,3,0,1,0
Millwall,Brighton,1/3/2014,0,1,0,1
Nott'm Forest,Wigan,1/3/2014,1,4,0,1
QPR,Leeds,1/3/2014,1,1,1,1
Reading,Yeovil,1/3/2014,1,1,0,1
Sheffield Weds,Middlesbrough,1/3/2014,1,0,0,0
Watford,Blackpool,1/3/2014,4,0,3,0
Barnsley,Nott'm Forest,8/3/2014,1,0,0,0
Birmingham,QPR,8/3/2014,0,2,0,1
Blackpool,Bournemouth,8/3/2014,0,1,0,0
Brighton,Reading,8/3/2014,1,1,1,0
Derby,Millwall,8/3/2014,0,1,0,0
Doncaster,Huddersfield,8/3/2014,2,0,1,0
Leeds,Bolton,8/3/2014,1,5,0,1
Middlesbrough,Ipswich,8/3/2014,2,0,2,0
Yeovil,Sheffield Weds,8/3/2014,2,0,1,0
Blackburn,Burnley,9/3/2014,1,2,1,0
Barnsley,Leicester,11/3/2014,0,3,0,1
Blackpool,Millwall,11/3/2014,1,0,1,0
Brighton,QPR,11/3/2014,2,0,0,0
Derby,Bolton,11/3/2014,0,0,0,0
Doncaster,Watford,11/3/2014,2,1,1,0
Leeds,Reading,11/3/2014,2,4,0,1
Middlesbrough,Nott'm Forest,11/3/2014,1,1,0,0
Yeovil,Ipswich,11/3/2014,0,1,0,1
Birmingham,Burnley,12/3/2014,3,3,0,1
Blackburn,Bournemouth,12/3/2014,0,1,0,0
Charlton,Huddersfield,12/3/2014,0,0,0,0
Wigan,Sheffield Weds,12/3/2014,1,0,0,0
Bolton,Brighton,15/03/14,0,2,0,1
Bournemouth,Middlesbrough,15/03/14,0,0,0,0
Burnley,Leeds,15/03/14,2,1,1,1
Huddersfield,Blackburn,15/03/14,2,4,1,1
Ipswich,Wigan,15/03/14,1,3,1,2
Leicester,Blackpool,15/03/14,3,1,0,1
Millwall,Charlton,15/03/14,0,0,0,0
Nott'm Forest,Doncaster,15/03/14,0,0,0,0
QPR,Yeovil,15/03/14,3,0,1,0
Reading,Derby,15/03/14,0,0,0,0
Sheffield Weds,Birmingham,15/03/14,4,1,2,0
Watford,Barnsley,15/03/14,3,0,2,0
Charlton,Bournemouth,18/03/14,1,0,0,0
Sheffield Weds,QPR,18/03/14,3,0,1,0
Wigan,Yeovil,18/03/14,3,3,0,0
Barnsley,Bournemouth,22/03/14,0,1,0,0
Birmingham,Reading,22/03/14,1,2,1,1
Blackburn,Leicester,22/03/14,1,1,1,1
Blackpool,Huddersfield,22/03/14,1,0,1,0
Brighton,Ipswich,22/03/14,0,2,0,0
Charlton,Burnley,22/03/14,0,3,0,1
Derby,Nott'm Forest,22/03/14,5,0,3,0
Doncaster,Sheffield Weds,22/03/14,1,0,1,0
Leeds,Millwall,22/03/14,2,1,2,0
Middlesbrough,QPR,22/03/14,1,3,1,1
Wigan,Watford,22/03/14,2,1,1,1
Yeovil,Bolton,22/03/14,2,2,2,0
Bolton,Blackpool,25/03/14,1,0,1,0
Bournemouth,Leeds,25/03/14,4,1,3,0
Burnley,Doncaster,25/03/14,2,0,0,0
Huddersfield,Middlesbrough,25/03/14,2,2,2,1
Ipswich,Derby,25/03/14,2,1,0,1
Leicester,Yeovil,25/03/14,1,1,0,1
Millwall,Birmingham,25/03/14,2,3,1,2
Nott'm Forest,Charlton,25/03/14,0,1,0,0
QPR,Wigan,25/03/14,1,0,1,0
Reading,Barnsley,25/03/14,1,3,1,1
Sheffield Weds,Brighton,25/03/14,1,0,0,0
Watford,Blackburn,25/03/14,3,3,1,1
Birmingham,Bournemouth,29/03/14,2,4,0,3
Bolton,Wigan,29/03/14,1,1,1,0
Brighton,Middlesbrough,29/03/14,0,2,0,0
Burnley,Leicester,29/03/14,0,2,0,1
Derby,Charlton,29/03/14,3,0,2,0
Ipswich,Nott'm Forest,29/03/14,1,1,0,1
Leeds,Doncaster,29/03/14,1,2,0,2
Millwall,Blackburn,29/03/14,2,2,0,0
QPR,Blackpool,29/03/14,1,1,0,1
Reading,Huddersfield,29/03/14,1,1,1,1
Sheffield Weds,Watford,29/03/14,1,4,0,2
Yeovil,Barnsley,29/03/14,1,4,0,0
Blackburn,Brighton,1/4/2014,3,3,2,1
Leeds,Charlton,1/4/2014,0,1,0,0
Wigan,Leicester,1/4/2014,2,2,1,1
Leicester,Sheffield Weds,4/4/2014,2,1,1,1
Barnsley,Brighton,5/4/2014,0,0,0,0
Blackburn,Ipswich,5/4/2014,2,0,0,0
Blackpool,Yeovil,5/4/2014,1,2,0,1
Bournemouth,QPR,5/4/2014,2,1,1,0
Charlton,Reading,5/4/2014,0,1,0,0
Doncaster,Birmingham,5/4/2014,1,3,1,0
Huddersfield,Bolton,5/4/2014,0,1,0,0
Middlesbrough,Derby,5/4/2014,1,0,0,0
Nott'm Forest,Millwall,5/4/2014,1,2,0,2
Watford,Burnley,5/4/2014,1,1,1,0
Wigan,Leeds,5/4/2014,1,0,1,0
Barnsley,Burnley,8/4/2014,0,1,0,1
Blackburn,QPR,8/4/2014,2,0,1,0
Blackpool,Derby,8/4/2014,1,3,1,3
Bournemouth,Reading,8/4/2014,3,1,3,0
Charlton,Yeovil,8/4/2014,3,2,1,1
Doncaster,Bolton,8/4/2014,1,2,1,2
Huddersfield,Ipswich,8/4/2014,0,2,0,2
Leicester,Brighton,8/4/2014,1,4,0,2
Middlesbrough,Birmingham,8/4/2014,3,1,2,1
Nott'm Forest,Sheffield Weds,8/4/2014,3,3,1,2
Watford,Leeds,8/4/2014,3,0,2,0
Wigan,Millwall,8/4/2014,0,1,0,1
Bolton,Barnsley,12/4/2014,1,0,1,0
Brighton,Charlton,12/4/2014,3,0,2,0
Burnley,Middlesbrough,12/4/2014,0,1,0,0
Derby,Huddersfield,12/4/2014,3,1,1,1
Ipswich,Doncaster,12/4/2014,2,1,0,0
Leeds,Blackpool,12/4/2014,2,0,1,0
Millwall,Watford,12/4/2014,2,2,0,1
QPR,Nott'm Forest,12/4/2014,5,2,2,1
Sheffield Weds,Blackburn,12/4/2014,3,3,1,3
Yeovil,Bournemouth,12/4/2014,1,1,1,0
Reading,Leicester,14/04/14,1,1,1,1
Charlton,Barnsley,15/04/14,1,2,0,1
Blackburn,Yeovil,18/04/14,0,0,0,0
Blackpool,Burnley,18/04/14,0,1,0,0
Bournemouth,Sheffield Weds,18/04/14,2,4,1,2
Charlton,Bolton,18/04/14,0,0,0,0
Doncaster,Derby,18/04/14,0,2,0,1
Huddersfield,Brighton,18/04/14,1,1,1,0
Wigan,Reading,18/04/14,3,0,2,0
Barnsley,Leeds,19/04/14,0,1,0,1
Leicester,QPR,19/04/14,1,0,0,0
Middlesbrough,Millwall,19/04/14,1,2,0,2
Nott'm Forest,Birmingham,19/04/14,1,0,1,0
Watford,Ipswich,19/04/14,3,1,1,0
Birmingham,Blackburn,21/04/14,2,4,0,4
Brighton,Blackpool,21/04/14,1,1,0,0
